Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,ADMINISTRASI PUBLIK,40,808,4.95
UNIVERSITAS BRAWIJAYA,ADMINISTRASI PUBLIK,148,1380,10.72
UNIVERSITAS DIPONEGORO,ADMINISTRASI PUBLIK,63,903,6.98
UNIVERSITAS HASANUDDIN,ADMINISTRASI PUBLIK,60,441,13.61
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,ADMINISTRASI PUBLIK,91,590,15.42
UNIVERSITAS JENDERAL SOEDIRMAN,ADMINISTRASI PUBLIK,48,1454,3.3
UNIVERSITAS LAMBUNG MANGKURAT,ADMINISTRASI PUBLIK,50,588,8.5
UNIVERSITAS MALIKUSSALEH,ADMINISTRASI PUBLIK,128,191,67.02
UNIVERSITAS MULAWARMAN,ADMINISTRASI PUBLIK,32,480,6.67
UNIVERSITAS NEGERI GORONTALO,ADMINISTRASI PUBLIK,56,227,24.67
UNIVERSITAS PADJADJARAN,ADMINISTRASI PUBLIK,28,1024,2.73
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,ADMINISTRASI PUBLIK,72,107,67.29
UNIVERSITAS SULTAN AGENG TIRTAYASA,ADMINISTRASI PUBLIK,80,736,10.87
"UPN ""VETERAN"" JAWA TIMUR",ADMINISTRASI PUBLIK,150,736,20.38
