Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,BIOLOGI,35,363,9.64
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,BIOLOGI,36,147,24.49
INSTITUT TEKNOLOGI SUMATERA,BIOLOGI,44,151,29.14
UNIVERSITAS AIRLANGGA,BIOLOGI,27,324,8.33
UNIVERSITAS ANDALAS,BIOLOGI,48,189,25.4
UNIVERSITAS BANGKA BELITUNG,BIOLOGI,20,59,33.9
UNIVERSITAS BENGKULU,BIOLOGI,50,69,72.46
UNIVERSITAS BRAWIJAYA,BIOLOGI,70,323,21.67
UNIVERSITAS CENDERAWASIH,BIOLOGI,20,13,100.0
UNIVERSITAS DIPONEGORO,BIOLOGI,71,302,23.51
UNIVERSITAS GADJAH MADA,BIOLOGI,79,623,12.68
UNIVERSITAS HALUOLEO,BIOLOGI,32,63,50.79
UNIVERSITAS HASANUDDIN,BIOLOGI,77,239,32.22
UNIVERSITAS INDONESIA,BIOLOGI,30,417,7.19
UNIVERSITAS ISLAM NEGERI AR-RANIRY,BIOLOGI,12,55,21.82
UNIVERSITAS ISLAM NEGERI JAKARTA,BIOLOGI,24,185,12.97
UNIVERSITAS ISLAM NEGERI MALANG,BIOLOGI,100,256,39.06
UNIVERSITAS ISLAM NEGERI RADEN FATAH,BIOLOGI,52,25,100.0
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,BIOLOGI,63,96,65.62
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,BIOLOGI,28,117,23.93
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,BIOLOGI,36,187,19.25
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,BIOLOGI,36,128,28.12
UNIVERSITAS ISLAM NEGERI WALISONGO,BIOLOGI,48,44,100.0
UNIVERSITAS JAMBI,BIOLOGI,36,56,64.29
UNIVERSITAS JEMBER,BIOLOGI,44,215,20.47
UNIVERSITAS JENDERAL SOEDIRMAN,BIOLOGI,60,408,14.71
UNIVERSITAS LAMBUNG MANGKURAT,BIOLOGI,30,96,31.25
UNIVERSITAS LAMPUNG,BIOLOGI,75,240,31.25
UNIVERSITAS MATARAM,BIOLOGI,40,121,33.06
UNIVERSITAS MULAWARMAN,BIOLOGI,34,101,33.66
UNIVERSITAS NEGERI GORONTALO,BIOLOGI,35,55,63.64
UNIVERSITAS NEGERI JAKARTA,BIOLOGI,36,444,8.11
UNIVERSITAS NEGERI MAKASSAR,BIOLOGI,15,109,13.76
UNIVERSITAS NEGERI MALANG,BIOLOGI,50,368,13.59
UNIVERSITAS NEGERI MEDAN,BIOLOGI,70,315,22.22
UNIVERSITAS NEGERI SEMARANG,BIOLOGI,32,280,11.43
UNIVERSITAS NEGERI SURABAYA,BIOLOGI,31,352,8.81
UNIVERSITAS NEGERI YOGYAKARTA,BIOLOGI,36,441,8.16
UNIVERSITAS NUSA CENDANA,BIOLOGI,36,64,56.25
UNIVERSITAS PADJADJARAN,BIOLOGI,36,541,6.65
UNIVERSITAS PALANGKARAYA,BIOLOGI,25,33,75.76
UNIVERSITAS PAPUA,BIOLOGI,28,3,100.0
UNIVERSITAS PATTIMURA,BIOLOGI,68,28,100.0
UNIVERSITAS PENDIDIKAN GANESHA,BIOLOGI,24,28,85.71
UNIVERSITAS PENDIDIKAN INDONESIA,BIOLOGI,20,283,7.07
UNIVERSITAS RIAU,BIOLOGI,48,211,22.75
UNIVERSITAS SAM RATULANGI,BIOLOGI,45,41,100.0
UNIVERSITAS SAMUDRA,BIOLOGI,16,19,84.21
UNIVERSITAS SEBELAS MARET,BIOLOGI,27,336,8.04
UNIVERSITAS SRIWIJAYA,BIOLOGI,60,190,31.58
UNIVERSITAS SUMATERA UTARA,BIOLOGI,48,370,12.97
UNIVERSITAS SYIAH KUALA,BIOLOGI,45,139,32.37
UNIVERSITAS TADULAKO,BIOLOGI,25,47,53.19
UNIVERSITAS TANJUNGPURA,BIOLOGI,50,102,49.02
UNIVERSITAS TIMOR,BIOLOGI,50,42,100.0
UNIVERSITAS UDAYANA,BIOLOGI,28,88,31.82
