Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,DESAIN KOMUNIKASI VISUAL,24,608,3.95
INSTITUT TEKNOLOGI SUMATERA,DESAIN KOMUNIKASI VISUAL,73,200,36.5
ISBI ACEH,DESAIN KOMUNIKASI VISUAL,24,12,100.0
ISBI TANAH PAPUA,DESAIN KOMUNIKASI VISUAL,12,2,100.0
ISI DENPASAR,DESAIN KOMUNIKASI VISUAL,32,177,18.08
ISI SURAKARTA,DESAIN KOMUNIKASI VISUAL,40,545,7.34
ISI YOGYAKARTA,DESAIN KOMUNIKASI VISUAL,36,1389,2.59
UNIVERSITAS NEGERI MAKASSAR,DESAIN KOMUNIKASI VISUAL,32,181,17.68
UNIVERSITAS NEGERI MALANG,DESAIN KOMUNIKASI VISUAL,54,995,5.43
UNIVERSITAS NEGERI SURABAYA,DESAIN KOMUNIKASI VISUAL,27,573,4.71
UNIVERSITAS PENDIDIKAN INDONESIA,DESAIN KOMUNIKASI VISUAL,70,868,8.06
UNIVERSITAS SEBELAS MARET,DESAIN KOMUNIKASI VISUAL,30,716,4.19
"UPN ""VETERAN"" JAWA TIMUR",DESAIN KOMUNIKASI VISUAL,80,305,26.23
