Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,GIZI,48,923,5.2
UNIVERSITAS ANDALAS,GIZI,40,854,4.68
UNIVERSITAS DIPONEGORO,GIZI,41,1272,3.22
UNIVERSITAS HALUOLEO,GIZI,32,123,26.02
UNIVERSITAS INDONESIA,GIZI,20,508,3.94
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,GIZI,30,153,19.61
UNIVERSITAS ISLAM NEGERI WALISONGO,GIZI,54,226,23.89
UNIVERSITAS JEMBER,GIZI,25,366,6.83
UNIVERSITAS NEGERI MAKASSAR,GIZI,67,454,14.76
UNIVERSITAS NEGERI MEDAN,GIZI,55,796,6.91
UNIVERSITAS NEGERI SEMARANG,GIZI,48,875,5.49
UNIVERSITAS NEGERI SURABAYA,GIZI,36,753,4.78
UNIVERSITAS PENDIDIKAN INDONESIA,GIZI,30,0,100.0
UNIVERSITAS SILIWANGI,GIZI,45,589,7.64
UNIVERSITAS SINGAPERBANGSA KARAWANG,GIZI,32,358,8.94
UNIVERSITAS SRIWIJAYA,GIZI,50,622,8.04
UNIVERSITAS SULAWESI BARAT,GIZI,40,78,51.28
UNIVERSITAS SULTAN AGENG TIRTAYASA,GIZI,20,393,5.09
UNIVERSITAS TADULAKO,GIZI,48,251,19.12
UNIVERSITAS TEUKU UMAR,GIZI,50,211,23.7
"UPN ""VETERAN"" JAKARTA",GIZI,53,1502,3.53
