Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,ILMU KOMPUTER,42,889,4.72
UNIVERSITAS GADJAH MADA,ILMU KOMPUTER,25,1330,1.88
UNIVERSITAS HALUOLEO,ILMU KOMPUTER,20,351,5.7
UNIVERSITAS HASANUDDIN,ILMU KOMPUTER,45,885,5.08
UNIVERSITAS INDONESIA,ILMU KOMPUTER,45,1256,3.58
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,ILMU KOMPUTER,95,401,23.69
UNIVERSITAS LAMBUNG MANGKURAT,ILMU KOMPUTER,35,503,6.96
UNIVERSITAS LAMPUNG,ILMU KOMPUTER,55,518,10.62
UNIVERSITAS NEGERI JAKARTA,ILMU KOMPUTER,18,498,3.61
UNIVERSITAS NEGERI MEDAN,ILMU KOMPUTER,44,750,5.87
UNIVERSITAS NUSA CENDANA,ILMU KOMPUTER,36,476,7.56
UNIVERSITAS PENDIDIKAN GANESHA,ILMU KOMPUTER,32,58,55.17
UNIVERSITAS PENDIDIKAN INDONESIA,ILMU KOMPUTER,42,1011,4.15
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,ILMU KOMPUTER,72,111,64.86
UNIVERSITAS SUMATERA UTARA,ILMU KOMPUTER,45,1713,2.63
