Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BENGKULU,KEHUTANAN,45,164,27.44
UNIVERSITAS BRAWIJAYA,KEHUTANAN,36,664,5.42
UNIVERSITAS GADJAH MADA,KEHUTANAN,97,1264,7.67
UNIVERSITAS HALUOLEO,KEHUTANAN,64,76,84.21
UNIVERSITAS HASANUDDIN,KEHUTANAN,160,687,23.29
UNIVERSITAS JAMBI,KEHUTANAN,90,221,40.72
UNIVERSITAS KHAIRUN,KEHUTANAN,32,33,96.97
UNIVERSITAS LAMBUNG MANGKURAT,KEHUTANAN,125,225,55.56
UNIVERSITAS LAMPUNG,KEHUTANAN,60,351,17.09
UNIVERSITAS MATARAM,KEHUTANAN,25,186,13.44
UNIVERSITAS MULAWARMAN,KEHUTANAN,190,330,57.58
UNIVERSITAS NUSA CENDANA,KEHUTANAN,36,145,24.83
UNIVERSITAS PALANGKARAYA,KEHUTANAN,100,188,53.19
UNIVERSITAS PAPUA,KEHUTANAN,24,7,100.0
UNIVERSITAS PATTIMURA,KEHUTANAN,41,30,100.0
UNIVERSITAS RIAU,KEHUTANAN,32,309,10.36
UNIVERSITAS SAM RATULANGI,KEHUTANAN,30,32,93.75
UNIVERSITAS SULAWESI BARAT,KEHUTANAN,50,44,100.0
UNIVERSITAS SUMATERA UTARA,KEHUTANAN,100,1018,9.82
UNIVERSITAS SYIAH KUALA,KEHUTANAN,36,122,29.51
UNIVERSITAS TADULAKO,KEHUTANAN,270,161,100.0
UNIVERSITAS TANJUNGPURA,KEHUTANAN,180,441,40.82
