Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,KEPERAWATAN,69,1214,5.68
UNIVERSITAS ANDALAS,KEPERAWATAN,72,833,8.64
UNIVERSITAS BORNEO TARAKAN,KEPERAWATAN,32,111,28.83
UNIVERSITAS DIPONEGORO,KEPERAWATAN,60,1019,5.89
UNIVERSITAS JENDERAL SOEDIRMAN,KEPERAWATAN,36,1070,3.36
UNIVERSITAS NEGERI GORONTALO,KEPERAWATAN,60,662,9.06
UNIVERSITAS SULAWESI BARAT,KEPERAWATAN,70,107,65.42
UNIVERSITAS SULTAN AGENG TIRTAYASA,KEPERAWATAN,20,0,100.0
UNIVERSITAS TANJUNGPURA,KEPERAWATAN,60,252,23.81
UNIVERSITAS UDAYANA,KEPERAWATAN,36,303,11.88
"UPN ""VETERAN"" JAKARTA",KEPERAWATAN,70,1203,5.82
