Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,PEND. MATEMATIKA,20,14,100.0
UNIVERSITAS JAMBI,PEND. MATEMATIKA,54,222,24.32
UNIVERSITAS KHAIRUN,PEND. MATEMATIKA,32,21,100.0
UNIVERSITAS LAMBUNG MANGKURAT,PEND. MATEMATIKA,50,200,25.0
UNIVERSITAS LAMPUNG,PEND. MATEMATIKA,61,333,18.32
UNIVERSITAS NEGERI MANADO,PEND. MATEMATIKA,36,58,62.07
UNIVERSITAS NEGERI SURABAYA,PEND. MATEMATIKA,45,654,6.88
UNIVERSITAS NUSA CENDANA,PEND. MATEMATIKA,54,153,35.29
UNIVERSITAS PALANGKARAYA,PEND. MATEMATIKA,35,68,51.47
UNIVERSITAS PATTIMURA,PEND. MATEMATIKA,36,22,100.0
UNIVERSITAS RIAU,PEND. MATEMATIKA,48,415,11.57
UNIVERSITAS SINGAPERBANGSA KARAWANG,PEND. MATEMATIKA,81,256,31.64
UNIVERSITAS SRIWIJAYA,PEND. MATEMATIKA,40,359,11.14
UNIVERSITAS SULAWESI BARAT,PEND. MATEMATIKA,60,85,70.59
UNIVERSITAS TADULAKO,PEND. MATEMATIKA,65,122,53.28
UNIVERSITAS TANJUNGPURA,PEND. MATEMATIKA,38,203,18.72
UNIVERSITAS TIMOR,PEND. MATEMATIKA,50,41,100.0
