Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,PSIKOLOGI,72,1993,3.61
UNIVERSITAS ANDALAS,PSIKOLOGI,60,887,6.76
UNIVERSITAS BRAWIJAYA,PSIKOLOGI,104,2160,4.81
UNIVERSITAS DIPONEGORO,PSIKOLOGI,108,3538,3.05
UNIVERSITAS GADJAH MADA,PSIKOLOGI,79,3655,2.16
UNIVERSITAS HALUOLEO,PSIKOLOGI,32,182,17.58
UNIVERSITAS HASANUDDIN,PSIKOLOGI,60,707,8.49
UNIVERSITAS ISLAM NEGERI AR-RANIRY,PSIKOLOGI,56,57,98.25
UNIVERSITAS ISLAM NEGERI JAKARTA,PSIKOLOGI,80,1394,5.74
UNIVERSITAS ISLAM NEGERI MALANG,PSIKOLOGI,150,696,21.55
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,PSIKOLOGI,60,329,18.24
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,PSIKOLOGI,71,681,10.43
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,PSIKOLOGI,80,1092,7.33
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,PSIKOLOGI,64,1003,6.38
UNIVERSITAS ISLAM NEGERI WALISONGO,PSIKOLOGI,72,295,24.41
UNIVERSITAS JAMBI,PSIKOLOGI,45,531,8.47
UNIVERSITAS LAMBUNG MANGKURAT,PSIKOLOGI,40,552,7.25
UNIVERSITAS MALIKUSSALEH,PSIKOLOGI,60,211,28.44
UNIVERSITAS MULAWARMAN,PSIKOLOGI,32,599,5.34
UNIVERSITAS NEGERI JAKARTA,PSIKOLOGI,90,3211,2.8
UNIVERSITAS NEGERI MAKASSAR,PSIKOLOGI,108,1488,7.26
UNIVERSITAS NEGERI MALANG,PSIKOLOGI,90,1806,4.98
UNIVERSITAS NEGERI MANADO,PSIKOLOGI,64,158,40.51
UNIVERSITAS NEGERI PADANG,PSIKOLOGI,112,1452,7.71
UNIVERSITAS NEGERI SEMARANG,PSIKOLOGI,72,1742,4.13
UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI,90,1684,5.34
UNIVERSITAS NEGERI YOGYAKARTA,PSIKOLOGI,36,2441,1.47
UNIVERSITAS NUSA CENDANA,PSIKOLOGI,68,153,44.44
UNIVERSITAS PADJADJARAN,PSIKOLOGI,68,2619,2.6
UNIVERSITAS PENDIDIKAN INDONESIA,PSIKOLOGI,54,1715,3.15
UNIVERSITAS SEBELAS MARET,PSIKOLOGI,45,2093,2.15
UNIVERSITAS SRIWIJAYA,PSIKOLOGI,35,524,6.68
UNIVERSITAS SUMATERA UTARA,PSIKOLOGI,75,1702,4.41
UNIVERSITAS SYIAH KUALA,PSIKOLOGI,45,507,8.88
UNIVERSITAS TRUNOJOYO MADURA,PSIKOLOGI,90,487,18.48
UNIVERSITAS UDAYANA,PSIKOLOGI,48,791,6.07
