Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,AGRIBISNIS,48,872,5.5
UNIVERSITAS ANDALAS,AGRIBISNIS,48,839,5.72
UNIVERSITAS BANGKA BELITUNG,AGRIBISNIS,40,154,25.97
UNIVERSITAS BENGKULU,AGRIBISNIS,50,363,13.77
UNIVERSITAS BORNEO TARAKAN,AGRIBISNIS,48,82,58.54
UNIVERSITAS BRAWIJAYA,AGRIBISNIS,188,1229,15.3
UNIVERSITAS DIPONEGORO,AGRIBISNIS,45,944,4.77
UNIVERSITAS HALUOLEO,AGRIBISNIS,40,210,19.05
UNIVERSITAS HASANUDDIN,AGRIBISNIS,130,1076,12.08
UNIVERSITAS JAMBI,AGRIBISNIS,113,582,19.42
UNIVERSITAS JEMBER,AGRIBISNIS,70,671,10.43
UNIVERSITAS JENDERAL SOEDIRMAN,AGRIBISNIS,40,936,4.27
UNIVERSITAS KHAIRUN,AGRIBISNIS,24,30,80.0
UNIVERSITAS LAMBUNG MANGKURAT,AGRIBISNIS,40,214,18.69
UNIVERSITAS LAMPUNG,AGRIBISNIS,60,497,12.07
UNIVERSITAS MALIKUSSALEH,AGRIBISNIS,48,187,25.67
UNIVERSITAS MATARAM,AGRIBISNIS,138,539,25.6
UNIVERSITAS MULAWARMAN,AGRIBISNIS,35,220,15.91
UNIVERSITAS MUSAMUS MERAUKE,AGRIBISNIS,22,6,100.0
UNIVERSITAS NEGERI GORONTALO,AGRIBISNIS,50,121,41.32
UNIVERSITAS NUSA CENDANA,AGRIBISNIS,79,139,56.83
UNIVERSITAS PADJADJARAN,AGRIBISNIS,46,922,4.99
UNIVERSITAS PAPUA,AGRIBISNIS,24,7,100.0
UNIVERSITAS PATTIMURA,AGRIBISNIS,36,38,94.74
UNIVERSITAS SAM RATULANGI,AGRIBISNIS,108,130,83.08
UNIVERSITAS SAMUDRA,AGRIBISNIS,32,120,26.67
UNIVERSITAS SEBELAS MARET,AGRIBISNIS,36,1226,2.94
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,AGRIBISNIS,45,40,100.0
UNIVERSITAS SILIWANGI,AGRIBISNIS,60,639,9.39
UNIVERSITAS SINGAPERBANGSA KARAWANG,AGRIBISNIS,50,315,15.87
UNIVERSITAS SRIWIJAYA,AGRIBISNIS,100,730,13.7
UNIVERSITAS SULAWESI BARAT,AGRIBISNIS,70,188,37.23
UNIVERSITAS SULTAN AGENG TIRTAYASA,AGRIBISNIS,120,596,20.13
UNIVERSITAS SUMATERA UTARA,AGRIBISNIS,60,1362,4.41
UNIVERSITAS SYIAH KUALA,AGRIBISNIS,54,529,10.21
UNIVERSITAS TADULAKO,AGRIBISNIS,144,318,45.28
UNIVERSITAS TEUKU UMAR,AGRIBISNIS,45,98,45.92
UNIVERSITAS TIMOR,AGRIBISNIS,60,120,50.0
UNIVERSITAS TRUNOJOYO MADURA,AGRIBISNIS,100,259,38.61
UNIVERSITAS UDAYANA,AGRIBISNIS,80,337,23.74
"UPN ""VETERAN"" JAWA TIMUR",AGRIBISNIS,115,501,22.95
"UPN ""VETERAN"" YOGYAKARTA",AGRIBISNIS,60,547,10.97
