Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,HUBUNGAN INTERNASIONAL,S1,48,587,8.18
UNIVERSITAS BRAWIJAYA,HUBUNGAN INTERNASIONAL,S1,80,1134,7.05
UNIVERSITAS CENDERAWASIH,HUBUNGAN INTERNASIONAL,S1,32,50,64.0
UNIVERSITAS DIPONEGORO,HUBUNGAN INTERNASIONAL,S1,33,1026,3.22
UNIVERSITAS ISLAM NEGERI ALAUDDIN,HUBUNGAN INTERNASIONAL,S1,40,100,40.0
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,HUBUNGAN INTERNASIONAL,S1,45,182,24.73
UNIVERSITAS JEMBER,HUBUNGAN INTERNASIONAL,S1,77,510,15.1
UNIVERSITAS JENDERAL SOEDIRMAN,HUBUNGAN INTERNASIONAL,S1,32,774,4.13
UNIVERSITAS LAMPUNG,HUBUNGAN INTERNASIONAL,S1,65,642,10.12
UNIVERSITAS MATARAM,HUBUNGAN INTERNASIONAL,S1,60,506,11.86
UNIVERSITAS RIAU,HUBUNGAN INTERNASIONAL,S1,80,780,10.26
UNIVERSITAS SEBELAS MARET,HUBUNGAN INTERNASIONAL,S1,20,665,3.01
UNIVERSITAS SINGAPERBANGSA KARAWANG,HUBUNGAN INTERNASIONAL,S1,36,555,6.49
UNIVERSITAS UDAYANA,HUBUNGAN INTERNASIONAL,S1,32,567,5.64
"UPN ""VETERAN"" JAKARTA",HUBUNGAN INTERNASIONAL,S1,120,1576,7.61
