Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,HUKUM,240,2168,11.07
UNIVERSITAS BANGKA BELITUNG,HUKUM,60,192,31.25
UNIVERSITAS BORNEO TARAKAN,HUKUM,96,201,47.76
UNIVERSITAS DIPONEGORO,HUKUM,240,3104,7.73
UNIVERSITAS GADJAH MADA,HUKUM,116,3575,3.24
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,HUKUM,72,220,32.73
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,HUKUM,32,230,13.91
UNIVERSITAS JENDERAL SOEDIRMAN,HUKUM,100,1576,6.35
UNIVERSITAS LAMPUNG,HUKUM,360,1505,23.92
UNIVERSITAS MALIKUSSALEH,HUKUM,180,325,55.38
UNIVERSITAS MULAWARMAN,HUKUM,100,767,13.04
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,HUKUM,72,65,100.0
UNIVERSITAS SULTAN AGENG TIRTAYASA,HUKUM,200,972,20.58
UNIVERSITAS TIDAR,HUKUM,100,328,30.49
"UPN ""VETERAN"" JAKARTA",HUKUM,175,1838,9.52
"UPN ""VETERAN"" JAWA TIMUR",HUKUM,165,1056,15.62
