Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,ILMU HUKUM,90,1455,6.19
UNIVERSITAS BENGKULU,ILMU HUKUM,225,939,23.96
UNIVERSITAS BRAWIJAYA,ILMU HUKUM,220,2992,7.35
UNIVERSITAS CENDERAWASIH,ILMU HUKUM,120,73,100.0
UNIVERSITAS HALUOLEO,ILMU HUKUM,160,752,21.28
UNIVERSITAS HASANUDDIN,ILMU HUKUM,160,2323,6.89
UNIVERSITAS INDONESIA,ILMU HUKUM,90,3370,2.67
UNIVERSITAS ISLAM NEGERI ALAUDDIN,ILMU HUKUM,64,320,20.0
UNIVERSITAS ISLAM NEGERI AR-RANIRY,ILMU HUKUM,48,22,100.0
UNIVERSITAS ISLAM NEGERI JAKARTA,ILMU HUKUM,48,494,9.72
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,ILMU HUKUM,100,240,41.67
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,ILMU HUKUM,72,586,12.29
UNIVERSITAS ISLAM NEGERI WALISONGO,ILMU HUKUM,72,162,44.44
UNIVERSITAS JAMBI,ILMU HUKUM,247,1075,22.98
UNIVERSITAS JEMBER,ILMU HUKUM,225,919,24.48
UNIVERSITAS KHAIRUN,ILMU HUKUM,120,160,75.0
UNIVERSITAS LAMBUNG MANGKURAT,ILMU HUKUM,208,1012,20.55
UNIVERSITAS MARITIM RAJA ALI HAJI,ILMU HUKUM,48,87,55.17
UNIVERSITAS MATARAM,ILMU HUKUM,240,1055,22.75
UNIVERSITAS MUSAMUS MERAUKE,ILMU HUKUM,74,27,100.0
UNIVERSITAS NEGERI GORONTALO,ILMU HUKUM,140,489,28.63
UNIVERSITAS NEGERI MANADO,ILMU HUKUM,80,134,59.7
UNIVERSITAS NEGERI SEMARANG,ILMU HUKUM,280,2240,12.5
UNIVERSITAS NEGERI SURABAYA,ILMU HUKUM,90,1086,8.29
UNIVERSITAS NUSA CENDANA,ILMU HUKUM,225,647,34.78
UNIVERSITAS PADJADJARAN,ILMU HUKUM,130,3105,4.19
UNIVERSITAS PALANGKARAYA,ILMU HUKUM,125,367,34.06
UNIVERSITAS PENDIDIKAN GANESHA,ILMU HUKUM,80,226,35.4
UNIVERSITAS RIAU,ILMU HUKUM,48,1093,4.39
UNIVERSITAS SAM RATULANGI,ILMU HUKUM,528,860,61.4
UNIVERSITAS SAMUDRA,ILMU HUKUM,48,182,26.37
UNIVERSITAS SEBELAS MARET,ILMU HUKUM,135,2679,5.04
UNIVERSITAS SINGAPERBANGSA KARAWANG,ILMU HUKUM,108,623,17.34
UNIVERSITAS SRIWIJAYA,ILMU HUKUM,250,1487,16.81
UNIVERSITAS SULAWESI BARAT,ILMU HUKUM,75,152,49.34
UNIVERSITAS SUMATERA UTARA,ILMU HUKUM,210,2949,7.12
UNIVERSITAS SYIAH KUALA,ILMU HUKUM,180,1173,15.35
UNIVERSITAS TADULAKO,ILMU HUKUM,325,567,57.32
UNIVERSITAS TANJUNGPURA,ILMU HUKUM,239,1117,21.4
UNIVERSITAS TEUKU UMAR,ILMU HUKUM,50,94,53.19
UNIVERSITAS TRUNOJOYO MADURA,ILMU HUKUM,200,414,48.31
UNIVERSITAS UDAYANA,ILMU HUKUM,208,1472,14.13
