Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,ILMU KOMUNIKASI,S1,45,1137,3.96
UNIVERSITAS ANDALAS,ILMU KOMUNIKASI,S1,40,1167,3.43
UNIVERSITAS BENGKULU,ILMU KOMUNIKASI,S1,50,656,7.62
UNIVERSITAS BRAWIJAYA,ILMU KOMUNIKASI,S1,100,2190,4.57
UNIVERSITAS DIPONEGORO,ILMU KOMUNIKASI,S1,63,2518,2.5
UNIVERSITAS GADJAH MADA,ILMU KOMUNIKASI,S1,27,2205,1.22
UNIVERSITAS HALUOLEO,ILMU KOMUNIKASI,S1,80,416,19.23
UNIVERSITAS HASANUDDIN,ILMU KOMUNIKASI,S1,45,1192,3.78
UNIVERSITAS INDONESIA,ILMU KOMUNIKASI,S1,21,2988,0.7
UNIVERSITAS ISLAM NEGERI ALAUDDIN,ILMU KOMUNIKASI,S1,48,212,22.64
UNIVERSITAS ISLAM NEGERI RADEN FATAH,ILMU KOMUNIKASI,S1,75,266,28.2
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,ILMU KOMUNIKASI,S1,88,496,17.74
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,ILMU KOMUNIKASI,S1,41,296,13.85
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,ILMU KOMUNIKASI,S1,56,523,10.71
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,ILMU KOMUNIKASI,S1,64,902,7.1
UNIVERSITAS JENDERAL SOEDIRMAN,ILMU KOMUNIKASI,S1,32,1539,2.08
UNIVERSITAS LAMBUNG MANGKURAT,ILMU KOMUNIKASI,S1,40,762,5.25
UNIVERSITAS LAMPUNG,ILMU KOMUNIKASI,S1,65,1226,5.3
UNIVERSITAS MALIKUSSALEH,ILMU KOMUNIKASI,S1,128,297,43.1
UNIVERSITAS MATARAM,ILMU KOMUNIKASI,S1,60,813,7.38
UNIVERSITAS MULAWARMAN,ILMU KOMUNIKASI,S1,32,693,4.62
UNIVERSITAS NEGERI GORONTALO,ILMU KOMUNIKASI,S1,60,340,17.65
UNIVERSITAS NEGERI JAKARTA,ILMU KOMUNIKASI,S1,33,3247,1.02
UNIVERSITAS NEGERI SURABAYA,ILMU KOMUNIKASI,S1,36,1236,2.91
UNIVERSITAS NEGERI YOGYAKARTA,ILMU KOMUNIKASI,S1,54,2671,2.02
UNIVERSITAS NUSA CENDANA,ILMU KOMUNIKASI,S1,72,625,11.52
UNIVERSITAS PADJADJARAN,ILMU KOMUNIKASI,S1,32,3134,1.02
UNIVERSITAS PATTIMURA,ILMU KOMUNIKASI,S1,90,66,100.0
UNIVERSITAS PENDIDIKAN INDONESIA,ILMU KOMUNIKASI,S1,36,1731,2.08
UNIVERSITAS RIAU,ILMU KOMUNIKASI,S1,112,1644,6.81
UNIVERSITAS SAM RATULANGI,ILMU KOMUNIKASI,S1,80,236,33.9
UNIVERSITAS SEBELAS MARET,ILMU KOMUNIKASI,S1,30,1871,1.6
UNIVERSITAS SINGAPERBANGSA KARAWANG,ILMU KOMUNIKASI,S1,90,1082,8.32
UNIVERSITAS SRIWIJAYA,ILMU KOMUNIKASI,S1,150,1296,11.57
UNIVERSITAS SULTAN AGENG TIRTAYASA,ILMU KOMUNIKASI,S1,100,1374,7.28
UNIVERSITAS SUMATERA UTARA,ILMU KOMUNIKASI,S1,36,1563,2.3
UNIVERSITAS SYIAH KUALA,ILMU KOMUNIKASI,S1,63,635,9.92
UNIVERSITAS TADULAKO,ILMU KOMUNIKASI,S1,99,476,20.8
UNIVERSITAS TANJUNGPURA,ILMU KOMUNIKASI,S1,20,482,4.15
UNIVERSITAS TEUKU UMAR,ILMU KOMUNIKASI,S1,60,100,60.0
UNIVERSITAS TIDAR,ILMU KOMUNIKASI,S1,100,670,14.93
UNIVERSITAS TRUNOJOYO MADURA,ILMU KOMUNIKASI,S1,90,371,24.26
UNIVERSITAS UDAYANA,ILMU KOMUNIKASI,S1,32,690,4.64
"UPN ""VETERAN"" JAKARTA",ILMU KOMUNIKASI,S1,160,4242,3.77
"UPN ""VETERAN"" JAWA TIMUR",ILMU KOMUNIKASI,S1,165,1455,11.34
"UPN ""VETERAN"" YOGYAKARTA",ILMU KOMUNIKASI,S1,100,1954,5.12
