Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BRAWIJAYA,ILMU PEMERINTAHAN,S1,64,895,7.15
UNIVERSITAS CENDERAWASIH,ILMU PEMERINTAHAN,S1,32,27,100.0
UNIVERSITAS DIPONEGORO,ILMU PEMERINTAHAN,S1,63,1396,4.51
UNIVERSITAS HALUOLEO,ILMU PEMERINTAHAN,S1,64,110,58.18
UNIVERSITAS HASANUDDIN,ILMU PEMERINTAHAN,S1,44,638,6.9
UNIVERSITAS JAMBI,ILMU PEMERINTAHAN,S1,58,428,13.55
UNIVERSITAS LAMBUNG MANGKURAT,ILMU PEMERINTAHAN,S1,40,508,7.87
UNIVERSITAS LAMPUNG,ILMU PEMERINTAHAN,S1,65,717,9.07
UNIVERSITAS MARITIM RAJA ALI HAJI,ILMU PEMERINTAHAN,S1,32,126,25.4
UNIVERSITAS MULAWARMAN,ILMU PEMERINTAHAN,S1,32,689,4.64
UNIVERSITAS PADJADJARAN,ILMU PEMERINTAHAN,S1,28,1054,2.66
UNIVERSITAS PALANGKARAYA,ILMU PEMERINTAHAN,S1,75,149,50.34
UNIVERSITAS RIAU,ILMU PEMERINTAHAN,S1,80,880,9.09
UNIVERSITAS SAM RATULANGI,ILMU PEMERINTAHAN,S1,95,257,36.96
UNIVERSITAS SINGAPERBANGSA KARAWANG,ILMU PEMERINTAHAN,S1,90,573,15.71
UNIVERSITAS SULTAN AGENG TIRTAYASA,ILMU PEMERINTAHAN,S1,60,453,13.25
UNIVERSITAS SYIAH KUALA,ILMU PEMERINTAHAN,S1,63,308,20.45
UNIVERSITAS TADULAKO,ILMU PEMERINTAHAN,S1,108,494,21.86
UNIVERSITAS TANJUNGPURA,ILMU PEMERINTAHAN,S1,60,696,8.62
UNIVERSITAS TIMOR,ILMU PEMERINTAHAN,S1,120,169,71.01
