Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,ILMU TANAH,S1,48,220,21.82
UNIVERSITAS BENGKULU,ILMU TANAH,S1,25,75,33.33
UNIVERSITAS GADJAH MADA,ILMU TANAH,S1,21,231,9.09
UNIVERSITAS HALUOLEO,ILMU TANAH,S1,16,43,37.21
UNIVERSITAS HASANUDDIN,ILMU TANAH,S1,65,0,100.0
UNIVERSITAS JEMBER,ILMU TANAH,S1,40,53,75.47
UNIVERSITAS KHAIRUN,ILMU TANAH,S1,20,9,100.0
UNIVERSITAS LAMBUNG MANGKURAT,ILMU TANAH,S1,25,51,49.02
UNIVERSITAS LAMPUNG,ILMU TANAH,S1,45,106,42.45
UNIVERSITAS MATARAM,ILMU TANAH,S1,45,123,36.59
UNIVERSITAS PAPUA,ILMU TANAH,S1,24,1,100.0
UNIVERSITAS PATTIMURA,ILMU TANAH,S1,18,3,100.0
UNIVERSITAS SAM RATULANGI,ILMU TANAH,S1,30,16,100.0
UNIVERSITAS SEBELAS MARET,ILMU TANAH,S1,36,533,6.75
UNIVERSITAS SRIWIJAYA,ILMU TANAH,S1,50,142,35.21
UNIVERSITAS SYIAH KUALA,ILMU TANAH,S1,36,104,34.62
UNIVERSITAS TANJUNGPURA,ILMU TANAH,S1,60,57,100.0
"UPN ""VETERAN"" YOGYAKARTA",ILMU TANAH,S1,60,219,27.4
