Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BENGKULU,KEHUTANAN,S1,45,164,27.44
UNIVERSITAS BRAWIJAYA,KEHUTANAN,S1,36,664,5.42
UNIVERSITAS GADJAH MADA,KEHUTANAN,S1,97,1264,7.67
UNIVERSITAS HALUOLEO,KEHUTANAN,S1,64,76,84.21
UNIVERSITAS HASANUDDIN,KEHUTANAN,S1,160,687,23.29
UNIVERSITAS JAMBI,KEHUTANAN,S1,90,221,40.72
UNIVERSITAS KHAIRUN,KEHUTANAN,S1,32,33,96.97
UNIVERSITAS LAMBUNG MANGKURAT,KEHUTANAN,S1,125,225,55.56
UNIVERSITAS LAMPUNG,KEHUTANAN,S1,60,351,17.09
UNIVERSITAS MATARAM,KEHUTANAN,S1,25,186,13.44
UNIVERSITAS MULAWARMAN,KEHUTANAN,S1,190,330,57.58
UNIVERSITAS NUSA CENDANA,KEHUTANAN,S1,36,145,24.83
UNIVERSITAS PALANGKARAYA,KEHUTANAN,S1,100,188,53.19
UNIVERSITAS PAPUA,KEHUTANAN,S1,24,7,100.0
UNIVERSITAS PATTIMURA,KEHUTANAN,S1,41,30,100.0
UNIVERSITAS RIAU,KEHUTANAN,S1,32,309,10.36
UNIVERSITAS SAM RATULANGI,KEHUTANAN,S1,30,32,93.75
UNIVERSITAS SULAWESI BARAT,KEHUTANAN,S1,50,44,100.0
UNIVERSITAS SUMATERA UTARA,KEHUTANAN,S1,100,1018,9.82
UNIVERSITAS SYIAH KUALA,KEHUTANAN,S1,36,122,29.51
UNIVERSITAS TADULAKO,KEHUTANAN,S1,270,161,100.0
UNIVERSITAS TANJUNGPURA,KEHUTANAN,S1,180,441,40.82
