Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,KEPERAWATAN,S1,69,1214,5.68
UNIVERSITAS ANDALAS,KEPERAWATAN,S1,72,833,8.64
UNIVERSITAS BORNEO TARAKAN,KEPERAWATAN,S1,32,111,28.83
UNIVERSITAS DIPONEGORO,KEPERAWATAN,S1,60,1019,5.89
UNIVERSITAS JENDERAL SOEDIRMAN,KEPERAWATAN,S1,36,1070,3.36
UNIVERSITAS NEGERI GORONTALO,KEPERAWATAN,S1,60,662,9.06
UNIVERSITAS SULAWESI BARAT,KEPERAWATAN,S1,70,107,65.42
UNIVERSITAS SULTAN AGENG TIRTAYASA,KEPERAWATAN,S1,20,0,100.0
UNIVERSITAS TANJUNGPURA,KEPERAWATAN,S1,60,252,23.81
UNIVERSITAS UDAYANA,KEPERAWATAN,S1,36,303,11.88
"UPN ""VETERAN"" JAKARTA",KEPERAWATAN,S1,70,1203,5.82
