Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,KIMIA,S1,35,280,12.5
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,KIMIA,S1,60,331,18.13
INSTITUT TEKNOLOGI SUMATERA,KIMIA,S1,59,76,77.63
UNIVERSITAS AIRLANGGA,KIMIA,S1,30,280,10.71
UNIVERSITAS ANDALAS,KIMIA,S1,48,253,18.97
UNIVERSITAS BANGKA BELITUNG,KIMIA,S1,20,26,76.92
UNIVERSITAS BENGKULU,KIMIA,S1,75,59,100.0
UNIVERSITAS BRAWIJAYA,KIMIA,S1,80,210,38.1
UNIVERSITAS CENDERAWASIH,KIMIA,S1,20,7,100.0
UNIVERSITAS DIPONEGORO,KIMIA,S1,56,293,19.11
UNIVERSITAS GADJAH MADA,KIMIA,S1,49,424,11.56
UNIVERSITAS HALUOLEO,KIMIA,S1,40,33,100.0
UNIVERSITAS HASANUDDIN,KIMIA,S1,77,255,30.2
UNIVERSITAS INDONESIA,KIMIA,S1,30,251,11.95
UNIVERSITAS ISLAM NEGERI ALAUDDIN,KIMIA,S1,40,37,100.0
UNIVERSITAS ISLAM NEGERI AR-RANIRY,KIMIA,S1,12,16,75.0
UNIVERSITAS ISLAM NEGERI JAKARTA,KIMIA,S1,48,166,28.92
UNIVERSITAS ISLAM NEGERI MALANG,KIMIA,S1,75,121,61.98
UNIVERSITAS ISLAM NEGERI RADEN FATAH,KIMIA,S1,70,20,100.0
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,KIMIA,S1,36,185,19.46
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,KIMIA,S1,36,78,46.15
UNIVERSITAS ISLAM NEGERI WALISONGO,KIMIA,S1,48,24,100.0
UNIVERSITAS JAMBI,KIMIA,S1,36,50,72.0
UNIVERSITAS JEMBER,KIMIA,S1,44,156,28.21
UNIVERSITAS JENDERAL SOEDIRMAN,KIMIA,S1,36,245,14.69
UNIVERSITAS LAMBUNG MANGKURAT,KIMIA,S1,30,77,38.96
UNIVERSITAS LAMPUNG,KIMIA,S1,75,141,53.19
UNIVERSITAS MATARAM,KIMIA,S1,40,99,40.4
UNIVERSITAS MULAWARMAN,KIMIA,S1,34,67,50.75
UNIVERSITAS NEGERI GORONTALO,KIMIA,S1,43,31,100.0
UNIVERSITAS NEGERI JAKARTA,KIMIA,S1,36,393,9.16
UNIVERSITAS NEGERI MAKASSAR,KIMIA,S1,15,73,20.55
UNIVERSITAS NEGERI MALANG,KIMIA,S1,54,226,23.89
UNIVERSITAS NEGERI MEDAN,KIMIA,S1,44,179,24.58
UNIVERSITAS NEGERI SEMARANG,KIMIA,S1,36,200,18.0
UNIVERSITAS NEGERI SURABAYA,KIMIA,S1,31,243,12.76
UNIVERSITAS NEGERI YOGYAKARTA,KIMIA,S1,36,368,9.78
UNIVERSITAS NUSA CENDANA,KIMIA,S1,36,46,78.26
UNIVERSITAS PADJADJARAN,KIMIA,S1,35,515,6.8
UNIVERSITAS PALANGKARAYA,KIMIA,S1,20,11,100.0
UNIVERSITAS PAPUA,KIMIA,S1,16,1,100.0
UNIVERSITAS PATTIMURA,KIMIA,S1,45,10,100.0
UNIVERSITAS PENDIDIKAN GANESHA,KIMIA,S1,24,24,100.0
UNIVERSITAS PENDIDIKAN INDONESIA,KIMIA,S1,40,334,11.98
UNIVERSITAS RIAU,KIMIA,S1,48,168,28.57
UNIVERSITAS SAM RATULANGI,KIMIA,S1,35,33,100.0
UNIVERSITAS SAMUDRA,KIMIA,S1,16,13,100.0
UNIVERSITAS SEBELAS MARET,KIMIA,S1,24,292,8.22
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,KIMIA,S1,36,7,100.0
UNIVERSITAS SRIWIJAYA,KIMIA,S1,60,131,45.8
UNIVERSITAS SUMATERA UTARA,KIMIA,S1,56,323,17.34
UNIVERSITAS SYIAH KUALA,KIMIA,S1,45,129,34.88
UNIVERSITAS TADULAKO,KIMIA,S1,27,45,60.0
UNIVERSITAS TANJUNGPURA,KIMIA,S1,50,70,71.43
UNIVERSITAS TIMOR,KIMIA,S1,40,32,100.0
UNIVERSITAS UDAYANA,KIMIA,S1,32,58,55.17
