Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,MANAJEMEN,S1,46,995,4.62
UNIVERSITAS AIRLANGGA,MANAJEMEN,S1,75,1832,4.09
UNIVERSITAS ANDALAS,MANAJEMEN,S1,68,1625,4.18
UNIVERSITAS BANGKA BELITUNG,MANAJEMEN,S1,45,411,10.95
UNIVERSITAS BENGKULU,MANAJEMEN,S1,90,1014,8.88
UNIVERSITAS BORNEO TARAKAN,MANAJEMEN,S1,48,388,12.37
UNIVERSITAS BRAWIJAYA,MANAJEMEN,S1,128,2743,4.67
UNIVERSITAS CENDERAWASIH,MANAJEMEN,S1,100,86,100.0
UNIVERSITAS DIPONEGORO,MANAJEMEN,S1,102,2851,3.58
UNIVERSITAS GADJAH MADA,MANAJEMEN,S1,46,3119,1.47
UNIVERSITAS HALUOLEO,MANAJEMEN,S1,120,1311,9.15
UNIVERSITAS HASANUDDIN,MANAJEMEN,S1,80,2368,3.38
UNIVERSITAS INDONESIA,MANAJEMEN,S1,54,3037,1.78
UNIVERSITAS ISLAM NEGERI ALAUDDIN,MANAJEMEN,S1,53,394,13.45
UNIVERSITAS ISLAM NEGERI JAKARTA,MANAJEMEN,S1,64,1034,6.19
UNIVERSITAS ISLAM NEGERI MALANG,MANAJEMEN,S1,150,615,24.39
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,MANAJEMEN,S1,55,419,13.13
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,MANAJEMEN,S1,72,372,19.35
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,MANAJEMEN,S1,43,720,5.97
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,MANAJEMEN,S1,91,1155,7.88
UNIVERSITAS ISLAM NEGERI WALISONGO,MANAJEMEN,S1,54,319,16.93
UNIVERSITAS JAMBI,MANAJEMEN,S1,135,1186,11.38
UNIVERSITAS JEMBER,MANAJEMEN,S1,100,1148,8.71
UNIVERSITAS JENDERAL SOEDIRMAN,MANAJEMEN,S1,48,1980,2.42
UNIVERSITAS KHAIRUN,MANAJEMEN,S1,72,260,27.69
UNIVERSITAS LAMBUNG MANGKURAT,MANAJEMEN,S1,110,1340,8.21
UNIVERSITAS LAMPUNG,MANAJEMEN,S1,80,1560,5.13
UNIVERSITAS MALIKUSSALEH,MANAJEMEN,S1,120,502,23.9
UNIVERSITAS MARITIM RAJA ALI HAJI,MANAJEMEN,S1,60,154,38.96
