Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,PEND. BAHASA INGGRIS,20,29,68.97
UNIVERSITAS JAMBI,PEND. BAHASA INGGRIS,54,415,13.01
UNIVERSITAS KHAIRUN,PEND. BAHASA INGGRIS,36,63,57.14
UNIVERSITAS LAMBUNG MANGKURAT,PEND. BAHASA INGGRIS,50,297,16.84
UNIVERSITAS PALANGKARAYA,PEND. BAHASA INGGRIS,50,188,26.6
UNIVERSITAS PATTIMURA,PEND. BAHASA INGGRIS,36,89,40.45
UNIVERSITAS SINGAPERBANGSA KARAWANG,PEND. BAHASA INGGRIS,81,398,20.35
UNIVERSITAS TADULAKO,PEND. BAHASA INGGRIS,113,349,32.38
UNIVERSITAS TANJUNGPURA,PEND. BAHASA INGGRIS,50,491,10.18
UNIVERSITAS TIMOR,PEND. BAHASA INGGRIS,50,38,100.0
