Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,PEND. BIOLOGI,S1,20,10,100.0
UNIVERSITAS JAMBI,PEND. BIOLOGI,S1,54,179,30.17
UNIVERSITAS KHAIRUN,PEND. BIOLOGI,S1,32,39,82.05
UNIVERSITAS LAMBUNG MANGKURAT,PEND. BIOLOGI,S1,50,100,50.0
UNIVERSITAS LAMPUNG,PEND. BIOLOGI,S1,61,325,18.77
UNIVERSITAS NEGERI MANADO,PEND. BIOLOGI,S1,36,48,75.0
UNIVERSITAS NEGERI SURABAYA,PEND. BIOLOGI,S1,45,492,9.15
UNIVERSITAS NUSA CENDANA,PEND. BIOLOGI,S1,41,105,39.05
UNIVERSITAS PALANGKARAYA,PEND. BIOLOGI,S1,20,62,32.26
UNIVERSITAS PATTIMURA,PEND. BIOLOGI,S1,36,44,81.82
UNIVERSITAS RIAU,PEND. BIOLOGI,S1,32,346,9.25
UNIVERSITAS SULAWESI BARAT,PEND. BIOLOGI,S1,70,103,67.96
UNIVERSITAS TADULAKO,PEND. BIOLOGI,S1,65,115,56.52
UNIVERSITAS TANJUNGPURA,PEND. BIOLOGI,S1,38,143,26.57
UNIVERSITAS TIMOR,PEND. BIOLOGI,S1,60,53,100.0
