Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,PEND. FISIKA,20,2,100.0
UNIVERSITAS JAMBI,PEND. FISIKA,40,72,55.56
UNIVERSITAS KHAIRUN,PEND. FISIKA,24,8,100.0
UNIVERSITAS LAMBUNG MANGKURAT,PEND. FISIKA,50,37,100.0
UNIVERSITAS LAMPUNG,PEND. FISIKA,61,80,76.25
UNIVERSITAS NEGERI MANADO,PEND. FISIKA,24,23,100.0
UNIVERSITAS NEGERI SURABAYA,PEND. FISIKA,45,188,23.94
UNIVERSITAS NUSA CENDANA,PEND. FISIKA,54,54,100.0
UNIVERSITAS PALANGKARAYA,PEND. FISIKA,20,20,100.0
UNIVERSITAS PATTIMURA,PEND. FISIKA,36,20,100.0
UNIVERSITAS RIAU,PEND. FISIKA,32,102,31.37
UNIVERSITAS SULAWESI BARAT,PEND. FISIKA,60,35,100.0
UNIVERSITAS TADULAKO,PEND. FISIKA,65,27,100.0
UNIVERSITAS TANJUNGPURA,PEND. FISIKA,38,28,100.0
