Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,PEND. KIMIA,20,6,100.0
UNIVERSITAS JAMBI,PEND. KIMIA,54,94,57.45
UNIVERSITAS KHAIRUN,PEND. KIMIA,24,22,100.0
UNIVERSITAS LAMBUNG MANGKURAT,PEND. KIMIA,50,56,89.29
UNIVERSITAS LAMPUNG,PEND. KIMIA,61,153,39.87
UNIVERSITAS NEGERI MANADO,PEND. KIMIA,24,15,100.0
UNIVERSITAS NEGERI SURABAYA,PEND. KIMIA,45,264,17.05
UNIVERSITAS NUSA CENDANA,PEND. KIMIA,54,57,94.74
UNIVERSITAS PALANGKARAYA,PEND. KIMIA,30,14,100.0
UNIVERSITAS PATTIMURA,PEND. KIMIA,36,14,100.0
UNIVERSITAS RIAU,PEND. KIMIA,32,154,20.78
UNIVERSITAS SRIWIJAYA,PEND. KIMIA,40,133,30.08
UNIVERSITAS TADULAKO,PEND. KIMIA,65,34,100.0
UNIVERSITAS TANJUNGPURA,PEND. KIMIA,38,45,84.44
