Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BENGKULU,PENDIDIKAN BAHASA INGGRIS,S1,60,332,18.07
UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN BAHASA INGGRIS,S1,32,76,42.11
UNIVERSITAS BRAWIJAYA,PENDIDIKAN BAHASA INGGRIS,S1,68,467,14.56
UNIVERSITAS HALUOLEO,PENDIDIKAN BAHASA INGGRIS,S1,52,295,17.63
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,PENDIDIKAN BAHASA INGGRIS,S1,43,308,13.96
UNIVERSITAS JEMBER,PENDIDIKAN BAHASA INGGRIS,S1,68,403,16.87
UNIVERSITAS JENDERAL SOEDIRMAN,PENDIDIKAN BAHASA INGGRIS,S1,24,366,6.56
UNIVERSITAS MARITIM RAJA ALI HAJI,PENDIDIKAN BAHASA INGGRIS,S1,36,71,50.7
UNIVERSITAS MATARAM,PENDIDIKAN BAHASA INGGRIS,S1,110,434,25.35
UNIVERSITAS MULAWARMAN,PENDIDIKAN BAHASA INGGRIS,S1,32,297,10.77
UNIVERSITAS MUSAMUS MERAUKE,PENDIDIKAN BAHASA INGGRIS,S1,50,6,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN BAHASA INGGRIS,S1,60,242,24.79
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA INGGRIS,S1,34,746,4.56
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN BAHASA INGGRIS,S1,88,717,12.27
UNIVERSITAS NEGERI MALANG,PENDIDIKAN BAHASA INGGRIS,S1,54,851,6.35
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN BAHASA INGGRIS,S1,110,1039,10.59
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA INGGRIS,S1,72,875,8.23
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN BAHASA INGGRIS,S1,106,1014,10.45
UNIVERSITAS PAPUA,PENDIDIKAN BAHASA INGGRIS,S1,16,9,100.0
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN BAHASA INGGRIS,S1,95,258,36.82
UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN BAHASA INGGRIS,S1,45,991,4.54
UNIVERSITAS SAMUDRA,PENDIDIKAN BAHASA INGGRIS,S1,32,64,50.0
UNIVERSITAS SEBELAS MARET,PENDIDIKAN BAHASA INGGRIS,S1,24,560,4.29
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN BAHASA INGGRIS,S1,54,25,100.0
UNIVERSITAS SILIWANGI,PENDIDIKAN BAHASA INGGRIS,S1,60,480,12.5
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN BAHASA INGGRIS,S1,60,490,12.24
UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,S1,54,488,11.07
UNIVERSITAS TIDAR,PENDIDIKAN BAHASA INGGRIS,S1,100,408,24.51
