Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BENGKULU,PENDIDIKAN MATEMATIKA,40,187,21.39
UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN MATEMATIKA,32,38,84.21
UNIVERSITAS HALUOLEO,PENDIDIKAN MATEMATIKA,48,183,26.23
UNIVERSITAS ISLAM NEGERI JAKARTA,PENDIDIKAN MATEMATIKA,38,271,14.02
UNIVERSITAS ISLAM NEGERI RADEN FATAH,PENDIDIKAN MATEMATIKA,45,56,80.36
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,PENDIDIKAN MATEMATIKA,38,119,31.93
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,PENDIDIKAN MATEMATIKA,40,190,21.05
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,PENDIDIKAN MATEMATIKA,28,143,19.58
UNIVERSITAS JEMBER,PENDIDIKAN MATEMATIKA,75,408,18.38
UNIVERSITAS MALIKUSSALEH,PENDIDIKAN MATEMATIKA,48,57,84.21
UNIVERSITAS MARITIM RAJA ALI HAJI,PENDIDIKAN MATEMATIKA,36,47,76.6
UNIVERSITAS MATARAM,PENDIDIKAN MATEMATIKA,90,176,51.14
UNIVERSITAS MULAWARMAN,PENDIDIKAN MATEMATIKA,32,143,22.38
UNIVERSITAS MUSAMUS MERAUKE,PENDIDIKAN MATEMATIKA,36,4,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN MATEMATIKA,59,67,88.06
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN MATEMATIKA,36,415,8.67
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN MATEMATIKA,29,348,8.33
UNIVERSITAS NEGERI MALANG,PENDIDIKAN MATEMATIKA,74,666,11.11
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN MATEMATIKA,132,830,15.9
UNIVERSITAS NEGERI PADANG,PENDIDIKAN MATEMATIKA,79,445,17.75
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN MATEMATIKA,84,839,10.01
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN MATEMATIKA,36,789,4.56
UNIVERSITAS PAPUA,PENDIDIKAN MATEMATIKA,16,5,100.0
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN MATEMATIKA,52,93,55.91
UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN MATEMATIKA,45,662,6.8
UNIVERSITAS SAMUDRA,PENDIDIKAN MATEMATIKA,16,27,59.26
UNIVERSITAS SEBELAS MARET,PENDIDIKAN MATEMATIKA,24,609,3.94
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN MATEMATIKA,54,8,100.0
UNIVERSITAS SILIWANGI,PENDIDIKAN MATEMATIKA,70,358,19.55
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN MATEMATIKA,60,381,15.75
UNIVERSITAS SYIAH KUALA,PENDIDIKAN MATEMATIKA,54,221,24.43
UNIVERSITAS TIDAR,PENDIDIKAN MATEMATIKA,80,208,38.46
