Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN SENI RUPA,16,30,53.33
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN SENI RUPA,32,170,18.82
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN SENI RUPA,32,60,53.33
UNIVERSITAS NEGERI MALANG,PENDIDIKAN SENI RUPA,47,239,19.67
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN SENI RUPA,55,107,51.4
UNIVERSITAS NEGERI PADANG,PENDIDIKAN SENI RUPA,56,87,64.37
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN SENI RUPA,32,100,32.0
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN SENI RUPA,36,257,14.01
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN SENI RUPA,20,24,83.33
UNIVERSITAS SEBELAS MARET,PENDIDIKAN SENI RUPA,24,125,19.2
