Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN TEKNIK MESIN,S1,16,46,34.78
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN TEKNIK MESIN,S1,15,132,11.36
UNIVERSITAS NEGERI MALANG,PENDIDIKAN TEKNIK MESIN,S1,41,202,20.3
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN TEKNIK MESIN,S1,55,244,22.54
UNIVERSITAS NEGERI PADANG,PENDIDIKAN TEKNIK MESIN,S1,44,145,30.34
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN TEKNIK MESIN,S1,36,194,18.56
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN TEKNIK MESIN,S1,36,523,6.88
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN TEKNIK MESIN,S1,12,17,70.59
UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN TEKNIK MESIN,S1,35,212,16.51
UNIVERSITAS SEBELAS MARET,PENDIDIKAN TEKNIK MESIN,S1,24,335,7.16
