Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,PETERNAKAN,S1,140,597,23.45
UNIVERSITAS BENGKULU,PETERNAKAN,S1,50,149,33.56
UNIVERSITAS BRAWIJAYA,PETERNAKAN,S1,296,871,33.98
UNIVERSITAS DIPONEGORO,PETERNAKAN,S1,90,732,12.3
UNIVERSITAS HALUOLEO,PETERNAKAN,S1,100,108,92.59
UNIVERSITAS HASANUDDIN,PETERNAKAN,S1,192,604,31.79
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,PETERNAKAN,S1,60,77,77.92
UNIVERSITAS JAMBI,PETERNAKAN,S1,135,343,39.36
UNIVERSITAS JEMBER,PETERNAKAN,S1,40,169,23.67
UNIVERSITAS JENDERAL SOEDIRMAN,PETERNAKAN,S1,90,789,11.41
UNIVERSITAS KHAIRUN,PETERNAKAN,S1,12,5,100.0
UNIVERSITAS LAMPUNG,PETERNAKAN,S1,40,221,18.1
UNIVERSITAS MATARAM,PETERNAKAN,S1,150,215,69.77
UNIVERSITAS MULAWARMAN,PETERNAKAN,S1,25,50,50.0
UNIVERSITAS MUSAMUS MERAUKE,PETERNAKAN,S1,29,5,100.0
UNIVERSITAS NEGERI GORONTALO,PETERNAKAN,S1,38,25,100.0
UNIVERSITAS PALANGKARAYA,PETERNAKAN,S1,25,25,100.0
UNIVERSITAS PAPUA,PETERNAKAN,S1,24,3,100.0
UNIVERSITAS PATTIMURA,PETERNAKAN,S1,30,11,100.0
UNIVERSITAS SAM RATULANGI,PETERNAKAN,S1,110,60,100.0
UNIVERSITAS SEBELAS MARET,PETERNAKAN,S1,36,642,5.61
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PETERNAKAN,S1,36,13,100.0
UNIVERSITAS SRIWIJAYA,PETERNAKAN,S1,50,147,34.01
UNIVERSITAS SULAWESI BARAT,PETERNAKAN,S1,50,32,100.0
UNIVERSITAS SUMATERA UTARA,PETERNAKAN,S1,72,559,12.88
UNIVERSITAS SYIAH KUALA,PETERNAKAN,S1,63,170,37.06
UNIVERSITAS TADULAKO,PETERNAKAN,S1,146,115,100.0
UNIVERSITAS TANJUNGPURA,PETERNAKAN,S1,30,52,57.69
UNIVERSITAS TIDAR,PETERNAKAN,S1,75,180,41.67
UNIVERSITAS TIMOR,PETERNAKAN,S1,60,79,75.95
UNIVERSITAS UDAYANA,PETERNAKAN,S1,80,170,47.06
