Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,PROTEKSI TANAMAN,34,216,15.74
UNIVERSITAS ANDALAS,PROTEKSI TANAMAN,56,216,25.93
UNIVERSITAS BENGKULU,PROTEKSI TANAMAN,25,42,59.52
UNIVERSITAS HALUOLEO,PROTEKSI TANAMAN,16,16,100.0
UNIVERSITAS HASANUDDIN,PROTEKSI TANAMAN,65,0,100.0
UNIVERSITAS JEMBER,PROTEKSI TANAMAN,25,53,47.17
UNIVERSITAS LAMBUNG MANGKURAT,PROTEKSI TANAMAN,25,30,83.33
UNIVERSITAS LAMPUNG,PROTEKSI TANAMAN,45,92,48.91
UNIVERSITAS SAM RATULANGI,PROTEKSI TANAMAN,25,8,100.0
UNIVERSITAS SRIWIJAYA,PROTEKSI TANAMAN,50,114,43.86
UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,36,79,45.57
