Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,SASTRA INGGRIS,S1,48,412,11.65
UNIVERSITAS BANGKA BELITUNG,SASTRA INGGRIS,S1,28,71,39.44
UNIVERSITAS BRAWIJAYA,SASTRA INGGRIS,S1,72,769,9.36
UNIVERSITAS DIPONEGORO,SASTRA INGGRIS,S1,50,825,6.06
UNIVERSITAS GADJAH MADA,SASTRA INGGRIS,S1,20,930,2.15
UNIVERSITAS HALUOLEO,SASTRA INGGRIS,S1,60,128,46.88
UNIVERSITAS HASANUDDIN,SASTRA INGGRIS,S1,60,696,8.62
UNIVERSITAS INDONESIA,SASTRA INGGRIS,S1,14,931,1.5
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,SASTRA INGGRIS,S1,52,263,19.77
UNIVERSITAS JEMBER,SASTRA INGGRIS,S1,50,408,12.25
UNIVERSITAS JENDERAL SOEDIRMAN,SASTRA INGGRIS,S1,24,644,3.73
UNIVERSITAS KHAIRUN,SASTRA INGGRIS,S1,48,60,80.0
UNIVERSITAS MULAWARMAN,SASTRA INGGRIS,S1,40,332,12.05
UNIVERSITAS MUSAMUS MERAUKE,SASTRA INGGRIS,S1,36,9,100.0
UNIVERSITAS NEGERI JAKARTA,SASTRA INGGRIS,S1,23,1231,1.87
UNIVERSITAS NEGERI MAKASSAR,SASTRA INGGRIS,S1,53,560,9.46
UNIVERSITAS NEGERI MEDAN,SASTRA INGGRIS,S1,55,605,9.09
UNIVERSITAS NEGERI SEMARANG,SASTRA INGGRIS,S1,58,791,7.33
UNIVERSITAS NEGERI SURABAYA,SASTRA INGGRIS,S1,38,683,5.56
UNIVERSITAS PADJADJARAN,SASTRA INGGRIS,S1,40,1254,3.19
UNIVERSITAS PAPUA,SASTRA INGGRIS,S1,16,4,100.0
UNIVERSITAS SAM RATULANGI,SASTRA INGGRIS,S1,130,188,69.15
UNIVERSITAS SEBELAS MARET,SASTRA INGGRIS,S1,23,548,4.2
UNIVERSITAS SUMATERA UTARA,SASTRA INGGRIS,S1,40,819,4.88
UNIVERSITAS TRUNOJOYO MADURA,SASTRA INGGRIS,S1,90,197,45.69
UNIVERSITAS UDAYANA,SASTRA INGGRIS,S1,80,610,13.11
