Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,SOSIOLOGI,36,416,8.65
UNIVERSITAS ANDALAS,SOSIOLOGI,48,372,12.9
UNIVERSITAS BANGKA BELITUNG,SOSIOLOGI,36,197,18.27
UNIVERSITAS BENGKULU,SOSIOLOGI,25,220,11.36
UNIVERSITAS BRAWIJAYA,SOSIOLOGI,66,444,14.86
UNIVERSITAS GADJAH MADA,SOSIOLOGI,27,746,3.62
UNIVERSITAS HALUOLEO,SOSIOLOGI,72,100,72.0
UNIVERSITAS HASANUDDIN,SOSIOLOGI,30,243,12.35
UNIVERSITAS INDONESIA,SOSIOLOGI,24,754,3.18
UNIVERSITAS ISLAM NEGERI JAKARTA,SOSIOLOGI,48,476,10.08
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,SOSIOLOGI,45,335,13.43
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,SOSIOLOGI,91,300,30.33
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,SOSIOLOGI,32,403,7.94
UNIVERSITAS ISLAM NEGERI WALISONGO,SOSIOLOGI,108,118,91.53
UNIVERSITAS JEMBER,SOSIOLOGI,82,373,21.98
UNIVERSITAS JENDERAL SOEDIRMAN,SOSIOLOGI,48,857,5.6
UNIVERSITAS LAMBUNG MANGKURAT,SOSIOLOGI,28,157,17.83
UNIVERSITAS LAMPUNG,SOSIOLOGI,65,445,14.61
UNIVERSITAS MALIKUSSALEH,SOSIOLOGI,64,85,75.29
UNIVERSITAS MARITIM RAJA ALI HAJI,SOSIOLOGI,32,53,60.38
UNIVERSITAS MATARAM,SOSIOLOGI,60,266,22.56
UNIVERSITAS NEGERI GORONTALO,SOSIOLOGI,60,107,56.07
UNIVERSITAS NEGERI JAKARTA,SOSIOLOGI,36,751,4.79
UNIVERSITAS NEGERI MAKASSAR,SOSIOLOGI,35,202,17.33
UNIVERSITAS NEGERI SURABAYA,SOSIOLOGI,36,577,6.24
UNIVERSITAS NUSA CENDANA,SOSIOLOGI,54,159,33.96
UNIVERSITAS PADJADJARAN,SOSIOLOGI,20,527,3.8
UNIVERSITAS PALANGKARAYA,SOSIOLOGI,75,111,67.57
UNIVERSITAS PATTIMURA,SOSIOLOGI,90,37,100.0
UNIVERSITAS RIAU,SOSIOLOGI,96,538,17.84
UNIVERSITAS SAM RATULANGI,SOSIOLOGI,35,49,71.43
UNIVERSITAS SEBELAS MARET,SOSIOLOGI,30,758,3.96
UNIVERSITAS SRIWIJAYA,SOSIOLOGI,100,441,22.68
UNIVERSITAS SUMATERA UTARA,SOSIOLOGI,48,513,9.36
UNIVERSITAS SYIAH KUALA,SOSIOLOGI,63,224,28.12
UNIVERSITAS TADULAKO,SOSIOLOGI,104,151,68.87
UNIVERSITAS TANJUNGPURA,SOSIOLOGI,60,157,38.22
UNIVERSITAS TEUKU UMAR,SOSIOLOGI,50,68,73.53
UNIVERSITAS TRUNOJOYO MADURA,SOSIOLOGI,90,281,32.03
UNIVERSITAS UDAYANA,SOSIOLOGI,32,176,18.18
