Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI KALIMANTAN,STATISTIKA,S1,16,0,100.0
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,STATISTIKA,S1,60,781,7.68
UNIVERSITAS AIRLANGGA,STATISTIKA,S1,30,540,5.56
UNIVERSITAS BENGKULU,STATISTIKA,S1,25,117,21.37
UNIVERSITAS BRAWIJAYA,STATISTIKA,S1,80,827,9.67
UNIVERSITAS CENDERAWASIH,STATISTIKA,S1,20,21,95.24
UNIVERSITAS DIPONEGORO,STATISTIKA,S1,56,1212,4.62
UNIVERSITAS GADJAH MADA,STATISTIKA,S1,21,783,2.68
UNIVERSITAS HALUOLEO,STATISTIKA,S1,32,124,25.81
UNIVERSITAS HASANUDDIN,STATISTIKA,S1,54,525,10.29
UNIVERSITAS INDONESIA,STATISTIKA,S1,18,470,3.83
UNIVERSITAS LAMBUNG MANGKURAT,STATISTIKA,S1,25,128,19.53
UNIVERSITAS MULAWARMAN,STATISTIKA,S1,24,130,18.46
UNIVERSITAS NEGERI GORONTALO,STATISTIKA,S1,30,73,41.1
UNIVERSITAS NEGERI JAKARTA,STATISTIKA,S1,18,470,3.83
UNIVERSITAS NEGERI MAKASSAR,STATISTIKA,S1,29,235,12.34
UNIVERSITAS NEGERI YOGYAKARTA,STATISTIKA,S1,18,440,4.09
UNIVERSITAS PADJADJARAN,STATISTIKA,S1,35,983,3.56
UNIVERSITAS PATTIMURA,STATISTIKA,S1,45,49,91.84
UNIVERSITAS RIAU,STATISTIKA,S1,16,125,12.8
UNIVERSITAS SEBELAS MARET,STATISTIKA,S1,24,628,3.82
UNIVERSITAS SULAWESI BARAT,STATISTIKA,S1,40,19,100.0
UNIVERSITAS SYIAH KUALA,STATISTIKA,S1,45,278,16.19
UNIVERSITAS TADULAKO,STATISTIKA,S1,25,105,23.81
