Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS HALUOLEO,TEKNIK ARSITEKTUR,S1,32,298,10.74
UNIVERSITAS HASANUDDIN,TEKNIK ARSITEKTUR,S1,50,718,6.96
UNIVERSITAS ISLAM NEGERI ALAUDDIN,TEKNIK ARSITEKTUR,S1,40,126,31.75
UNIVERSITAS ISLAM NEGERI MALANG,TEKNIK ARSITEKTUR,S1,75,316,23.73
UNIVERSITAS LAMBUNG MANGKURAT,TEKNIK ARSITEKTUR,S1,45,182,24.73
UNIVERSITAS MALIKUSSALEH,TEKNIK ARSITEKTUR,S1,80,113,70.8
UNIVERSITAS NEGERI GORONTALO,TEKNIK ARSITEKTUR,S1,50,89,56.18
UNIVERSITAS NEGERI SEMARANG,TEKNIK ARSITEKTUR,S1,48,626,7.67
UNIVERSITAS NUSA CENDANA,TEKNIK ARSITEKTUR,S1,36,153,23.53
UNIVERSITAS TADULAKO,TEKNIK ARSITEKTUR,S1,50,215,23.26
UNIVERSITAS TANJUNGPURA,TEKNIK ARSITEKTUR,S1,27,203,13.3
