Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK ELEKTRO,55,138,39.86
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK ELEKTRO,84,1160,7.24
INSTITUT TEKNOLOGI SUMATERA,TEKNIK ELEKTRO,88,449,19.6
UNIVERSITAS AIRLANGGA,TEKNIK ELEKTRO,30,351,8.55
UNIVERSITAS ANDALAS,TEKNIK ELEKTRO,60,857,7.0
UNIVERSITAS BANGKA BELITUNG,TEKNIK ELEKTRO,41,79,51.9
UNIVERSITAS BENGKULU,TEKNIK ELEKTRO,50,141,35.46
UNIVERSITAS BORNEO TARAKAN,TEKNIK ELEKTRO,32,39,82.05
UNIVERSITAS BRAWIJAYA,TEKNIK ELEKTRO,80,887,9.02
UNIVERSITAS CENDERAWASIH,TEKNIK ELEKTRO,32,34,94.12
UNIVERSITAS DIPONEGORO,TEKNIK ELEKTRO,60,1057,5.68
UNIVERSITAS GADJAH MADA,TEKNIK ELEKTRO,28,888,3.15
UNIVERSITAS HALUOLEO,TEKNIK ELEKTRO,40,167,23.95
UNIVERSITAS HASANUDDIN,TEKNIK ELEKTRO,85,771,11.02
UNIVERSITAS INDONESIA,TEKNIK ELEKTRO,30,624,4.81
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,TEKNIK ELEKTRO,40,90,44.44
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,TEKNIK ELEKTRO,36,248,14.52
UNIVERSITAS JAMBI,TEKNIK ELEKTRO,36,125,28.8
UNIVERSITAS JEMBER,TEKNIK ELEKTRO,60,243,24.69
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK ELEKTRO,42,542,7.75
UNIVERSITAS KHAIRUN,TEKNIK ELEKTRO,32,39,82.05
UNIVERSITAS LAMPUNG,TEKNIK ELEKTRO,100,232,43.1
UNIVERSITAS MALIKUSSALEH,TEKNIK ELEKTRO,80,171,46.78
UNIVERSITAS MARITIM RAJA ALI HAJI,TEKNIK ELEKTRO,48,26,100.0
UNIVERSITAS MATARAM,TEKNIK ELEKTRO,75,229,32.75
UNIVERSITAS MULAWARMAN,TEKNIK ELEKTRO,25,112,22.32
UNIVERSITAS MUSAMUS MERAUKE,TEKNIK ELEKTRO,24,14,100.0
UNIVERSITAS NEGERI GORONTALO,TEKNIK ELEKTRO,45,47,95.74
UNIVERSITAS NEGERI MAKASSAR,TEKNIK ELEKTRO,30,0,100.0
UNIVERSITAS NEGERI MALANG,TEKNIK ELEKTRO,27,445,6.07
UNIVERSITAS NEGERI MEDAN,TEKNIK ELEKTRO,50,316,15.82
UNIVERSITAS NEGERI SEMARANG,TEKNIK ELEKTRO,48,523,9.18
UNIVERSITAS NEGERI SURABAYA,TEKNIK ELEKTRO,36,422,8.53
UNIVERSITAS NEGERI YOGYAKARTA,TEKNIK ELEKTRO,18,630,2.86
UNIVERSITAS NUSA CENDANA,TEKNIK ELEKTRO,36,159,22.64
UNIVERSITAS PADJADJARAN,TEKNIK ELEKTRO,21,741,2.83
UNIVERSITAS PAPUA,TEKNIK ELEKTRO,16,2,100.0
UNIVERSITAS PENDIDIKAN INDONESIA,TEKNIK ELEKTRO,40,470,8.51
UNIVERSITAS RIAU,TEKNIK ELEKTRO,32,329,9.73
UNIVERSITAS SAM RATULANGI,TEKNIK ELEKTRO,53,126,42.06
UNIVERSITAS SEBELAS MARET,TEKNIK ELEKTRO,24,524,4.58
UNIVERSITAS SILIWANGI,TEKNIK ELEKTRO,30,233,12.88
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK ELEKTRO,48,342,14.04
UNIVERSITAS SRIWIJAYA,TEKNIK ELEKTRO,70,937,7.47
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNIK ELEKTRO,60,324,18.52
UNIVERSITAS SUMATERA UTARA,TEKNIK ELEKTRO,41,770,5.32
UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,63,350,18.0
UNIVERSITAS TADULAKO,TEKNIK ELEKTRO,50,133,37.59
UNIVERSITAS TANJUNGPURA,TEKNIK ELEKTRO,60,145,41.38
UNIVERSITAS TIDAR,TEKNIK ELEKTRO,80,254,31.5
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK ELEKTRO,60,225,26.67
UNIVERSITAS UDAYANA,TEKNIK ELEKTRO,64,267,23.97
"UPN ""VETERAN"" JAKARTA",TEKNIK ELEKTRO,53,361,14.68
