Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK INDUSTRI,S1,55,132,41.67
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK INDUSTRI,S1,60,1435,4.18
INSTITUT TEKNOLOGI SUMATERA,TEKNIK INDUSTRI,S1,88,538,16.36
UNIVERSITAS AIRLANGGA,TEKNIK INDUSTRI,S1,36,784,4.59
UNIVERSITAS ANDALAS,TEKNIK INDUSTRI,S1,52,916,5.68
UNIVERSITAS BRAWIJAYA,TEKNIK INDUSTRI,S1,80,1485,5.39
UNIVERSITAS DIPONEGORO,TEKNIK INDUSTRI,S1,60,1230,4.88
UNIVERSITAS GADJAH MADA,TEKNIK INDUSTRI,S1,39,1292,3.02
UNIVERSITAS HASANUDDIN,TEKNIK INDUSTRI,S1,50,619,8.08
UNIVERSITAS INDONESIA,TEKNIK INDUSTRI,S1,33,1048,3.15
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,TEKNIK INDUSTRI,S1,30,149,20.13
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,TEKNIK INDUSTRI,S1,36,288,12.5
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK INDUSTRI,S1,34,759,4.48
UNIVERSITAS MALIKUSSALEH,TEKNIK INDUSTRI,S1,100,240,41.67
UNIVERSITAS MULAWARMAN,TEKNIK INDUSTRI,S1,25,289,8.65
UNIVERSITAS NEGERI GORONTALO,TEKNIK INDUSTRI,S1,30,93,32.26
UNIVERSITAS NEGERI MALANG,TEKNIK INDUSTRI,S1,27,549,4.92
UNIVERSITAS PATTIMURA,TEKNIK INDUSTRI,S1,72,81,88.89
UNIVERSITAS SAMUDRA,TEKNIK INDUSTRI,S1,16,44,36.36
UNIVERSITAS SEBELAS MARET,TEKNIK INDUSTRI,S1,36,1254,2.87
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK INDUSTRI,S1,95,780,12.18
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNIK INDUSTRI,S1,60,610,9.84
UNIVERSITAS SUMATERA UTARA,TEKNIK INDUSTRI,S1,36,1089,3.31
UNIVERSITAS SYIAH KUALA,TEKNIK INDUSTRI,S1,54,354,15.25
UNIVERSITAS TANJUNGPURA,TEKNIK INDUSTRI,S1,35,129,27.13
UNIVERSITAS TEUKU UMAR,TEKNIK INDUSTRI,S1,30,52,57.69
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK INDUSTRI,S1,100,292,34.25
UNIVERSITAS UDAYANA,TEKNIK INDUSTRI,S1,24,186,12.9
"UPN ""VETERAN"" JAKARTA",TEKNIK INDUSTRI,S1,53,734,7.22
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK INDUSTRI,S1,125,945,13.23
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK INDUSTRI,S1,80,1127,7.1
