Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK LINGKUNGAN,S1,48,124,38.71
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK LINGKUNGAN,S1,48,779,6.16
INSTITUT TEKNOLOGI SUMATERA,TEKNIK LINGKUNGAN,S1,88,263,33.46
UNIVERSITAS AIRLANGGA,TEKNIK LINGKUNGAN,S1,30,553,5.42
UNIVERSITAS ANDALAS,TEKNIK LINGKUNGAN,S1,48,571,8.41
UNIVERSITAS BRAWIJAYA,TEKNIK LINGKUNGAN,S1,56,630,8.89
UNIVERSITAS DIPONEGORO,TEKNIK LINGKUNGAN,S1,60,882,6.8
UNIVERSITAS HASANUDDIN,TEKNIK LINGKUNGAN,S1,45,326,13.8
UNIVERSITAS INDONESIA,TEKNIK LINGKUNGAN,S1,21,626,3.35
UNIVERSITAS ISLAM NEGERI AR-RANIRY,TEKNIK LINGKUNGAN,S1,36,61,59.02
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,TEKNIK LINGKUNGAN,S1,28,206,13.59
UNIVERSITAS JAMBI,TEKNIK LINGKUNGAN,S1,36,127,28.35
UNIVERSITAS JEMBER,TEKNIK LINGKUNGAN,S1,40,279,14.34
UNIVERSITAS LAMBUNG MANGKURAT,TEKNIK LINGKUNGAN,S1,45,257,17.51
UNIVERSITAS MULAWARMAN,TEKNIK LINGKUNGAN,S1,25,286,8.74
UNIVERSITAS RIAU,TEKNIK LINGKUNGAN,S1,32,409,7.82
UNIVERSITAS SAM RATULANGI,TEKNIK LINGKUNGAN,S1,25,50,50.0
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK LINGKUNGAN,S1,32,239,13.39
UNIVERSITAS SUMATERA UTARA,TEKNIK LINGKUNGAN,S1,38,471,8.07
UNIVERSITAS TADULAKO,TEKNIK LINGKUNGAN,S1,50,88,56.82
UNIVERSITAS TANJUNGPURA,TEKNIK LINGKUNGAN,S1,45,139,32.37
UNIVERSITAS UDAYANA,TEKNIK LINGKUNGAN,S1,24,122,19.67
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK LINGKUNGAN,S1,75,534,14.04
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK LINGKUNGAN,S1,63,691,9.12
