Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI SUMATERA,ARSITEKTUR,S1,88,123,71.54
INSTITUT TEKNOLOGI SUMATERA,ARSITEKTUR LANSKAP,S1,59,104,56.73
INSTITUT TEKNOLOGI SUMATERA,BIOLOGI,S1,44,151,29.14
INSTITUT TEKNOLOGI SUMATERA,DESAIN KOMUNIKASI VISUAL,S1,73,200,36.5
INSTITUT TEKNOLOGI SUMATERA,FARMASI,S1,88,926,9.5
INSTITUT TEKNOLOGI SUMATERA,FISIKA,S1,29,23,100.0
INSTITUT TEKNOLOGI SUMATERA,KIMIA,S1,59,76,77.63
INSTITUT TEKNOLOGI SUMATERA,MATEMATIKA,S1,59,99,59.6
INSTITUT TEKNOLOGI SUMATERA,PERENCANAAN WILAYAH DAN KOTA,S1,117,462,25.32
INSTITUT TEKNOLOGI SUMATERA,REKAYASA KEHUTANAN,S1,59,109,54.13
INSTITUT TEKNOLOGI SUMATERA,SAINS AKTUARIA,S1,73,227,32.16
INSTITUT TEKNOLOGI SUMATERA,SAINS ATMOSFIR DAN KEPLANETAN,S1,59,106,55.66
INSTITUT TEKNOLOGI SUMATERA,SAINS DATA,S1,88,278,31.65
INSTITUT TEKNOLOGI SUMATERA,SAINS LINGKUNGAN KELAUTAN,S1,44,89,49.44
INSTITUT TEKNOLOGI SUMATERA,TEKNIK BIOMEDIS,S1,73,515,14.17
INSTITUT TEKNOLOGI SUMATERA,TEKNIK BIOSISTEM,S1,59,100,59.0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK ELEKTRO,S1,88,449,19.6
INSTITUT TEKNOLOGI SUMATERA,TEKNIK FISIKA,S1,44,30,100.0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK GEOFISIKA,S1,102,152,67.11
INSTITUT TEKNOLOGI SUMATERA,TEKNIK GEOLOGI,S1,59,119,49.58
INSTITUT TEKNOLOGI SUMATERA,TEKNIK GEOMATIKA,S1,73,108,67.59
INSTITUT TEKNOLOGI SUMATERA,TEKNIK INDUSTRI,S1,88,538,16.36
INSTITUT TEKNOLOGI SUMATERA,TEKNIK INFORMATIKA,S1,117,860,13.6
INSTITUT TEKNOLOGI SUMATERA,TEKNIK KELAUTAN,S1,59,100,59.0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK KIMIA,S1,73,178,41.01
INSTITUT TEKNOLOGI SUMATERA,TEKNIK LINGKUNGAN,S1,88,263,33.46
INSTITUT TEKNOLOGI SUMATERA,TEKNIK MATERIAL,S1,59,172,34.3
INSTITUT TEKNOLOGI SUMATERA,TEKNIK MESIN,S1,59,326,18.1
INSTITUT TEKNOLOGI SUMATERA,TEKNIK PERKERETAAPIAN,S1,59,0,100.0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK PERTAMBANGAN,S1,102,297,34.34
INSTITUT TEKNOLOGI SUMATERA,TEKNIK SIPIL,S1,117,616,18.99
INSTITUT TEKNOLOGI SUMATERA,TEKNIK SISTEM ENERGI,S1,59,132,44.7
INSTITUT TEKNOLOGI SUMATERA,TEKNIK TELEKOMUNIKASI,S1,59,230,25.65
INSTITUT TEKNOLOGI SUMATERA,TEKNOLOGI INDUSTRI PERTANIAN,S1,59,228,25.88
INSTITUT TEKNOLOGI SUMATERA,TEKNOLOGI PANGAN,S1,88,333,26.43
