Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
ISI SURAKARTA,DESAIN INTERIOR,S1,40,283,14.13
ISI SURAKARTA,DESAIN KOMUNIKASI VISUAL,S1,40,545,7.34
ISI SURAKARTA,DESAIN MODE BATIK,D4,30,0,100.0
ISI SURAKARTA,ETNOMUSIKOLOGI,S1,43,49,87.76
ISI SURAKARTA,FOTOGRAFI,S1,38,148,25.68
ISI SURAKARTA,KRIYA SENI,S1,33,70,47.14
ISI SURAKARTA,SENI KARAWITAN,S1,55,92,59.78
ISI SURAKARTA,SENI PEDALANGAN,S1,28,21,100.0
ISI SURAKARTA,SENI RUPA MURNI,S1,40,102,39.22
ISI SURAKARTA,SENI TARI,S1,65,130,50.0
ISI SURAKARTA,SENI TEATER,S1,33,33,100.0
ISI SURAKARTA,SENJATA TRADISIONAL KERIS,D4,15,0,100.0
ISI SURAKARTA,TELEVISI DAN FILM,S1,45,382,11.78
