Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,AKUAKULTUR,48,401,11.97
UNIVERSITAS AIRLANGGA,AKUAKULTUR (PSDKU BANYUWANGI),15,68,22.06
UNIVERSITAS AIRLANGGA,AKUNTANSI,75,1171,6.4
UNIVERSITAS AIRLANGGA,AKUNTANSI (PSDKU BANYUWANGI),18,175,10.29
UNIVERSITAS AIRLANGGA,ANTROPOLOGI,30,412,7.28
UNIVERSITAS AIRLANGGA,BAHASA DAN SASTRA INDONESIA,36,394,9.14
UNIVERSITAS AIRLANGGA,BAHASA DAN SASTRA INGGRIS,72,828,8.7
UNIVERSITAS AIRLANGGA,BIOLOGI,27,324,8.33
UNIVERSITAS AIRLANGGA,EKONOMI ISLAM,75,498,15.06
UNIVERSITAS AIRLANGGA,EKONOMI PEMBANGUNAN,66,953,6.93
UNIVERSITAS AIRLANGGA,FARMASI,75,1844,4.07
UNIVERSITAS AIRLANGGA,FISIKA,24,86,27.91
UNIVERSITAS AIRLANGGA,GIZI,48,923,5.2
UNIVERSITAS AIRLANGGA,ILMU ADMINISTRASI NEGARA,36,919,3.92
UNIVERSITAS AIRLANGGA,ILMU HUBUNGAN INTERNASIONAL,42,938,4.48
UNIVERSITAS AIRLANGGA,ILMU HUKUM,90,1455,6.19
UNIVERSITAS AIRLANGGA,ILMU INFORMASI DAN PERPUSTAKAAN,36,560,6.43
UNIVERSITAS AIRLANGGA,ILMU KOMUNIKASI,45,1137,3.96
UNIVERSITAS AIRLANGGA,ILMU POLITIK,33,701,4.71
UNIVERSITAS AIRLANGGA,ILMU SEJARAH,24,269,8.92
UNIVERSITAS AIRLANGGA,KEBIDANAN,24,349,6.88
UNIVERSITAS AIRLANGGA,KEDOKTERAN,75,2146,3.49
UNIVERSITAS AIRLANGGA,KEDOKTERAN GIGI,60,1022,5.87
UNIVERSITAS AIRLANGGA,KEDOKTERAN HEWAN,60,584,10.27
UNIVERSITAS AIRLANGGA,KEDOKTERAN HEWAN (PSDKU BANYUWANGI),15,119,12.61
UNIVERSITAS AIRLANGGA,KEPERAWATAN,69,1214,5.68
UNIVERSITAS AIRLANGGA,KESEHATAN MASYARAKAT,72,1623,4.44
UNIVERSITAS AIRLANGGA,KESEHATAN MASYARAKAT (PSDKU BANYUWANGI),15,198,7.58
UNIVERSITAS AIRLANGGA,KIMIA,30,280,10.71
UNIVERSITAS AIRLANGGA,MANAJEMEN,75,1832,4.09
UNIVERSITAS AIRLANGGA,MATEMATIKA,24,255,9.41
UNIVERSITAS AIRLANGGA,PSIKOLOGI,72,1993,3.61
UNIVERSITAS AIRLANGGA,REKAYASA NANOTEKNOLOGI,30,198,15.15
UNIVERSITAS AIRLANGGA,SISTEM INFORMASI,30,725,4.14
UNIVERSITAS AIRLANGGA,SOSIOLOGI,36,416,8.65
UNIVERSITAS AIRLANGGA,STATISTIKA,30,540,5.56
UNIVERSITAS AIRLANGGA,STUDI KEJEPANGAN,30,263,11.41
UNIVERSITAS AIRLANGGA,TEKNIK BIOMEDIS,24,417,5.76
UNIVERSITAS AIRLANGGA,TEKNIK ELEKTRO,30,351,8.55
UNIVERSITAS AIRLANGGA,TEKNIK INDUSTRI,36,784,4.59
UNIVERSITAS AIRLANGGA,TEKNIK LINGKUNGAN,30,553,5.42
UNIVERSITAS AIRLANGGA,TEKNIK ROBOTIKA DAN KECERDASAN BUATAN,30,397,7.56
UNIVERSITAS AIRLANGGA,TEKNOLOGI HASIL PERIKANAN,42,341,12.32
UNIVERSITAS AIRLANGGA,TEKNOLOGI SAINS DATA,36,586,6.14
