Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BRAWIJAYA,ADMINISTRASI BISNIS,168,2364,7.11
UNIVERSITAS BRAWIJAYA,ADMINISTRASI PENDIDIKAN,36,292,12.33
UNIVERSITAS BRAWIJAYA,ADMINISTRASI PUBLIK,148,1380,10.72
UNIVERSITAS BRAWIJAYA,AGRIBISNIS,188,1229,15.3
UNIVERSITAS BRAWIJAYA,AGRIBISNIS (PSDKU KEDIRI),50,188,26.6
UNIVERSITAS BRAWIJAYA,AGROBISNIS PERIKANAN,64,284,22.54
UNIVERSITAS BRAWIJAYA,AGROEKOTEKNOLOGI,324,1160,27.93
UNIVERSITAS BRAWIJAYA,AGROEKOTEKNOLOGI (PSDKU KEDIRI),50,191,26.18
UNIVERSITAS BRAWIJAYA,AKUAKULTUR (PSDKU KEDIRI),50,65,76.92
UNIVERSITAS BRAWIJAYA,AKUNTANSI,140,1911,7.33
UNIVERSITAS BRAWIJAYA,ANTROPOLOGI,32,390,8.21
UNIVERSITAS BRAWIJAYA,ARSITEKTUR,68,1101,6.18
UNIVERSITAS BRAWIJAYA,BAHASA DAN SASTRA PRANCIS,32,168,19.05
UNIVERSITAS BRAWIJAYA,BIOLOGI,70,323,21.67
UNIVERSITAS BRAWIJAYA,BIOTEKNOLOGI,56,429,13.05
UNIVERSITAS BRAWIJAYA,BUDIDAYA PERAIRAN,64,502,12.75
UNIVERSITAS BRAWIJAYA,DESAIN GRAFIS,40,0,100.0
UNIVERSITAS BRAWIJAYA,EKONOMI ISLAM,50,391,12.79
UNIVERSITAS BRAWIJAYA,EKONOMI PEMBANGUNAN,52,405,12.84
UNIVERSITAS BRAWIJAYA,"EKONOMI, KEUANGAN DAN PERBANKAN",72,1129,6.38
UNIVERSITAS BRAWIJAYA,FARMASI,48,1222,3.93
UNIVERSITAS BRAWIJAYA,FISIKA,40,123,32.52
UNIVERSITAS BRAWIJAYA,HUBUNGAN INTERNASIONAL,80,1134,7.05
UNIVERSITAS BRAWIJAYA,ILMU AKTUARIA,40,701,5.71
UNIVERSITAS BRAWIJAYA,ILMU GIZI,64,1263,5.07
UNIVERSITAS BRAWIJAYA,ILMU HUKUM,220,2992,7.35
UNIVERSITAS BRAWIJAYA,ILMU KELAUTAN,64,347,18.44
UNIVERSITAS BRAWIJAYA,ILMU KEPERAWATAN,80,1127,7.1
UNIVERSITAS BRAWIJAYA,ILMU KOMUNIKASI,100,2190,4.57
UNIVERSITAS BRAWIJAYA,ILMU PEMERINTAHAN,64,895,7.15
UNIVERSITAS BRAWIJAYA,ILMU PERPUSTAKAAN,40,550,7.27
UNIVERSITAS BRAWIJAYA,ILMU POLITIK,66,533,12.38
UNIVERSITAS BRAWIJAYA,INSTRUMENTASI,40,88,45.45
UNIVERSITAS BRAWIJAYA,KEBIDANAN,44,449,9.8
UNIVERSITAS BRAWIJAYA,KEDOKTERAN,100,2847,3.51
UNIVERSITAS BRAWIJAYA,KEHUTANAN,36,664,5.42
UNIVERSITAS BRAWIJAYA,KEWIRAUSAHAAN,34,857,3.97
UNIVERSITAS BRAWIJAYA,KIMIA,80,210,38.1
UNIVERSITAS BRAWIJAYA,MANAJEMEN,128,2743,4.67
UNIVERSITAS BRAWIJAYA,MANAJEMEN PERHOTELAN,64,0,100.0
UNIVERSITAS BRAWIJAYA,MANAJEMEN SUMBERDAYA PERAIRAN,64,329,19.45
UNIVERSITAS BRAWIJAYA,MATEMATIKA,80,461,17.35
UNIVERSITAS BRAWIJAYA,PARIWISATA,60,1112,5.4
UNIVERSITAS BRAWIJAYA,PEMANFAATAN SUMBERDAYA PERIKANAN,64,248,25.81
UNIVERSITAS BRAWIJAYA,PENDIDIKAN BAHASA INGGRIS,68,467,14.56
UNIVERSITAS BRAWIJAYA,PENDIDIKAN BAHASA JEPANG,32,186,17.2
UNIVERSITAS BRAWIJAYA,PENDIDIKAN BHS & SASTRA INDONESIA,44,488,9.02
UNIVERSITAS BRAWIJAYA,PENDIDIKAN DOKTER GIGI,56,1087,5.15
UNIVERSITAS BRAWIJAYA,PENDIDIKAN DOKTER HEWAN,86,617,13.94
UNIVERSITAS BRAWIJAYA,PENDIDIKAN TEKNOLOGI INFORMASI,32,108,29.63
UNIVERSITAS BRAWIJAYA,PERENCANAAN WILAYAH & KOTA,68,1027,6.62
UNIVERSITAS BRAWIJAYA,PERPAJAKAN,100,1147,8.72
UNIVERSITAS BRAWIJAYA,PETERNAKAN,296,871,33.98
UNIVERSITAS BRAWIJAYA,PETERNAKAN (PSDKU KEDIRI),50,119,42.02
UNIVERSITAS BRAWIJAYA,PSIKOLOGI,104,2160,4.81
UNIVERSITAS BRAWIJAYA,SASTRA CINA,40,215,18.6
UNIVERSITAS BRAWIJAYA,SASTRA INGGRIS,72,769,9.36
UNIVERSITAS BRAWIJAYA,SASTRA JEPANG,52,399,13.03
UNIVERSITAS BRAWIJAYA,SENI RUPA MURNI,24,94,25.53
UNIVERSITAS BRAWIJAYA,SISTEM INFORMASI,80,1538,5.2
UNIVERSITAS BRAWIJAYA,SOSIAL EKONOMI PERIKANAN (PSDKU KEDIRI),50,139,35.97
UNIVERSITAS BRAWIJAYA,SOSIOLOGI,66,444,14.86
UNIVERSITAS BRAWIJAYA,STATISTIKA,80,827,9.67
UNIVERSITAS BRAWIJAYA,TEKNIK ELEKTRO,80,887,9.02
UNIVERSITAS BRAWIJAYA,TEKNIK GEOFISIKA,40,250,16.0
UNIVERSITAS BRAWIJAYA,TEKNIK INDUSTRI,80,1485,5.39
UNIVERSITAS BRAWIJAYA,TEKNIK INDUSTRI PERTANIAN,112,697,16.07
UNIVERSITAS BRAWIJAYA,TEKNIK INFORMATIKA,96,1968,4.88
UNIVERSITAS BRAWIJAYA,TEKNIK KIMIA,58,426,13.62
UNIVERSITAS BRAWIJAYA,TEKNIK KOMPUTER,64,767,8.34
UNIVERSITAS BRAWIJAYA,TEKNIK LINGKUNGAN,56,630,8.89
UNIVERSITAS BRAWIJAYA,TEKNIK MESIN,80,1015,7.88
UNIVERSITAS BRAWIJAYA,TEKNIK PENGAIRAN,68,391,17.39
UNIVERSITAS BRAWIJAYA,TEKNIK PERTANIAN DAN BIOSISTEM,52,287,18.12
UNIVERSITAS BRAWIJAYA,TEKNIK SIPIL,68,1272,5.35
UNIVERSITAS BRAWIJAYA,TEKNOLOGI BIOPROSES,40,136,29.41
UNIVERSITAS BRAWIJAYA,TEKNOLOGI HASIL PERIKANAN,64,248,25.81
UNIVERSITAS BRAWIJAYA,TEKNOLOGI INFORMASI,64,725,8.83
UNIVERSITAS BRAWIJAYA,TEKNOLOGI PANGAN,76,870,8.74
