Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS GADJAH MADA,AGRONOMI,28,458,6.11
UNIVERSITAS GADJAH MADA,AKUAKULTUR (BUDIDAYA PERIKANAN),21,243,8.64
UNIVERSITAS GADJAH MADA,AKUNTANSI,53,2108,2.51
UNIVERSITAS GADJAH MADA,AKUNTANSI SEKTOR PUBLIK,21,0,100.0
UNIVERSITAS GADJAH MADA,ANTROPOLOGI BUDAYA,28,481,5.82
UNIVERSITAS GADJAH MADA,ARKEOLOGI,14,365,3.84
UNIVERSITAS GADJAH MADA,ARSITEKTUR,28,1184,2.36
UNIVERSITAS GADJAH MADA,BAHASA DAN KEBUDAYAAN KOREA,16,807,1.98
UNIVERSITAS GADJAH MADA,BAHASA DAN SASTRA INDONESIA,27,404,6.68
UNIVERSITAS GADJAH MADA,BAHASA INGGRIS,21,0,100.0
UNIVERSITAS GADJAH MADA,BIOLOGI,79,623,12.68
UNIVERSITAS GADJAH MADA,BISNIS PERJALANAN WISATA,32,0,100.0
UNIVERSITAS GADJAH MADA,EKONOMI PERTANIAN DAN AGRIBISNIS,28,601,4.66
UNIVERSITAS GADJAH MADA,ELEKTRONIKA DAN INSTRUMENTASI,25,306,8.17
UNIVERSITAS GADJAH MADA,FARMASI,84,2201,3.82
UNIVERSITAS GADJAH MADA,FILSAFAT,53,491,10.79
UNIVERSITAS GADJAH MADA,FISIKA,25,184,13.59
UNIVERSITAS GADJAH MADA,GEOFISIKA,21,311,6.75
UNIVERSITAS GADJAH MADA,GEOGRAFI LINGKUNGAN,42,503,8.35
UNIVERSITAS GADJAH MADA,GIZI KESEHATAN,35,1324,2.64
UNIVERSITAS GADJAH MADA,HIGIENE GIGI,18,197,9.14
UNIVERSITAS GADJAH MADA,HUKUM,116,3575,3.24
UNIVERSITAS GADJAH MADA,ILMU AKTUARIA,14,558,2.51
UNIVERSITAS GADJAH MADA,ILMU DAN INDUSTRI PETERNAKAN,105,1007,10.43
UNIVERSITAS GADJAH MADA,ILMU EKONOMI,32,652,4.91
UNIVERSITAS GADJAH MADA,ILMU HUBUNGAN INTERNASIONAL,28,1904,1.47
UNIVERSITAS GADJAH MADA,ILMU KEPERAWATAN,39,732,5.33
UNIVERSITAS GADJAH MADA,ILMU KOMPUTER,25,1330,1.88
UNIVERSITAS GADJAH MADA,ILMU KOMUNIKASI,27,2205,1.22
UNIVERSITAS GADJAH MADA,ILMU TANAH,21,231,9.09
UNIVERSITAS GADJAH MADA,KARTOGRAFI DAN PENGINDERAAN JAUH,35,352,9.94
UNIVERSITAS GADJAH MADA,KEDOKTERAN,62,3565,1.74
UNIVERSITAS GADJAH MADA,KEDOKTERAN GIGI,53,1407,3.77
UNIVERSITAS GADJAH MADA,KEDOKTERAN HEWAN,70,803,8.72
UNIVERSITAS GADJAH MADA,KEHUTANAN,97,1264,7.67
UNIVERSITAS GADJAH MADA,KIMIA,49,424,11.56
UNIVERSITAS GADJAH MADA,MANAJEMEN,46,3119,1.47
UNIVERSITAS GADJAH MADA,MANAJEMEN DAN KEBIJAKAN PUBLIK,27,1270,2.13
UNIVERSITAS GADJAH MADA,MANAJEMEN DAN PENILAIAN PROPERTI,14,0,100.0
UNIVERSITAS GADJAH MADA,MANAJEMEN INFORMASI KESEHATAN,11,0,100.0
