Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ISLAM NEGERI JAKARTA,AKUNTANSI,S1,64,558,11.47
UNIVERSITAS ISLAM NEGERI JAKARTA,BAHASA DAN SASTRA INGGRIS,S1,63,573,10.99
UNIVERSITAS ISLAM NEGERI JAKARTA,BIOLOGI,S1,24,185,12.97
UNIVERSITAS ISLAM NEGERI JAKARTA,FARMASI,S1,42,509,8.25
UNIVERSITAS ISLAM NEGERI JAKARTA,FISIKA,S1,32,61,52.46
UNIVERSITAS ISLAM NEGERI JAKARTA,ILMU EKONOMI DAN STUDI PEMBANGUNAN,S1,48,476,10.08
UNIVERSITAS ISLAM NEGERI JAKARTA,ILMU HUBUNGAN INTERNASIONAL,S1,48,610,7.87
UNIVERSITAS ISLAM NEGERI JAKARTA,ILMU HUKUM,S1,48,494,9.72
UNIVERSITAS ISLAM NEGERI JAKARTA,ILMU KEPERAWATAN,S1,40,512,7.81
UNIVERSITAS ISLAM NEGERI JAKARTA,ILMU PERPUSTAKAAN,S1,63,457,13.79
UNIVERSITAS ISLAM NEGERI JAKARTA,ILMU POLITIK,S1,48,387,12.4
UNIVERSITAS ISLAM NEGERI JAKARTA,JURNALISTIK,S1,64,379,16.89
UNIVERSITAS ISLAM NEGERI JAKARTA,KESEHATAN MASYARAKAT,S1,42,774,5.43
UNIVERSITAS ISLAM NEGERI JAKARTA,KESEJAHTERAAN SOSIAL,S1,48,698,6.88
UNIVERSITAS ISLAM NEGERI JAKARTA,KIMIA,S1,48,166,28.92
UNIVERSITAS ISLAM NEGERI JAKARTA,MANAJEMEN,S1,64,1034,6.19
UNIVERSITAS ISLAM NEGERI JAKARTA,MATEMATIKA,S1,32,235,13.62
UNIVERSITAS ISLAM NEGERI JAKARTA,PENDIDIKAN DOKTER,S1,50,1053,4.75
UNIVERSITAS ISLAM NEGERI JAKARTA,PENDIDIKAN KIMIA,S1,38,99,38.38
UNIVERSITAS ISLAM NEGERI JAKARTA,PENDIDIKAN MATEMATIKA,S1,38,271,14.02
UNIVERSITAS ISLAM NEGERI JAKARTA,PSIKOLOGI,S1,80,1394,5.74
UNIVERSITAS ISLAM NEGERI JAKARTA,SISTEM INFORMASI,S1,40,535,7.48
UNIVERSITAS ISLAM NEGERI JAKARTA,SOSIAL EKONOMI PERTANIAN / AGRIBISNIS,S1,40,310,12.9
UNIVERSITAS ISLAM NEGERI JAKARTA,SOSIOLOGI,S1,48,476,10.08
UNIVERSITAS ISLAM NEGERI JAKARTA,TEKNIK INFORMATIKA,S1,40,547,7.31
UNIVERSITAS ISLAM NEGERI JAKARTA,TEKNIK PERTAMBANGAN,S1,24,188,12.77
