Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,BIOLOGI,63,96,65.62
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,FISIKA,48,22,100.0
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,HUKUM,72,220,32.73
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,ILMU KESEHATAN MASYARAKAT,180,501,35.93
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,ILMU KOMPUTER,95,401,23.69
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,ILMU KOMUNIKASI,41,296,13.85
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,ILMU PERPUSTAKAAN,41,145,28.28
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,MANAJEMEN,72,372,19.35
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,MATEMATIKA,63,42,100.0
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,SISTEM INFORMASI,95,211,45.02
