Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,BIOLOGI,S1,36,128,28.12
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,FISIKA,S1,24,36,66.67
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,ILMU HUKUM (IH),S1,72,656,10.98
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,ILMU KESEJAHTERAAN SOSIAL (IKS),S1,37,410,9.02
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,ILMU KOMUNIKASI,S1,64,902,7.1
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,ILMU PERPUSTAKAAN (IP),S1,48,533,9.01
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,KIMIA,S1,36,78,46.15
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,MATEMATIKA,S1,36,83,43.37
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,PENDIDIKAN BIOLOGI,S1,28,136,20.59
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,PENDIDIKAN FISIKA,S1,28,34,82.35
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,PENDIDIKAN KIMIA,S1,28,44,63.64
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,PENDIDIKAN MATEMATIKA,S1,28,143,19.58
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,PSIKOLOGI,S1,64,1003,6.38
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,SASTRA INGGRIS (SI),S1,40,316,12.66
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,SOSIOLOGI,S1,32,403,7.94
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,TEKNIK INDUSTRI,S1,36,288,12.5
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,TEKNIK INFORMATIKA,S1,40,748,5.35
