Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS JAMBI,ADMINISTRASI PENDIDIKAN,40,196,20.41
UNIVERSITAS JAMBI,AGRIBISNIS,113,582,19.42
UNIVERSITAS JAMBI,AGROEKOTEKNOLOGI,135,404,33.42
UNIVERSITAS JAMBI,AKUNTANSI,135,668,20.21
UNIVERSITAS JAMBI,ARKEOLOGI,19,76,25.0
UNIVERSITAS JAMBI,BIMBINGAN DAN KONSELING,56,314,17.83
UNIVERSITAS JAMBI,BIOLOGI,36,56,64.29
UNIVERSITAS JAMBI,EKONOMI ISLAM,72,244,29.51
UNIVERSITAS JAMBI,FARMASI,36,500,7.2
UNIVERSITAS JAMBI,FISIKA,36,17,100.0
UNIVERSITAS JAMBI,ILMU EKONOMI PEMBANGUNAN,112,454,24.67
UNIVERSITAS JAMBI,ILMU HUKUM,247,1075,22.98
UNIVERSITAS JAMBI,ILMU KEPERAWATAN,54,308,17.53
UNIVERSITAS JAMBI,ILMU KESEHATAN MASYARAKAT,135,722,18.7
UNIVERSITAS JAMBI,ILMU PEMERINTAHAN,58,428,13.55
UNIVERSITAS JAMBI,ILMU POLITIK,67,138,48.55
UNIVERSITAS JAMBI,ILMU SEJARAH,40,52,76.92
UNIVERSITAS JAMBI,KEDOKTERAN,45,1225,3.67
UNIVERSITAS JAMBI,KEHUTANAN,90,221,40.72
UNIVERSITAS JAMBI,KEPELATIHAN OLAHRAGA,72,56,100.0
UNIVERSITAS JAMBI,KEUANGAN DAERAH,36,0,100.0
UNIVERSITAS JAMBI,KIMIA,36,50,72.0
UNIVERSITAS JAMBI,MANAJEMEN,135,1186,11.38
UNIVERSITAS JAMBI,MANAJEMEN PEMERINTAHAN,36,0,100.0
UNIVERSITAS JAMBI,MATEMATIKA,36,38,94.74
UNIVERSITAS JAMBI,PEMANFAATAN SUMBERDAYA PERIKANAN,67,91,73.63
UNIVERSITAS JAMBI,PEND. BAHASA INGGRIS,54,415,13.01
UNIVERSITAS JAMBI,"PEND. BAHASA, SASTRA INDONESIA & DAERAH",72,433,16.63
UNIVERSITAS JAMBI,PEND. BIOLOGI,54,179,30.17
UNIVERSITAS JAMBI,PEND. EKONOMI,54,170,31.76
UNIVERSITAS JAMBI,PEND. FISIKA,40,72,55.56
UNIVERSITAS JAMBI,PEND. GURU SEKOLAH DASAR,79,1200,6.58
UNIVERSITAS JAMBI,PEND. KIMIA,54,94,57.45
UNIVERSITAS JAMBI,PEND. MATEMATIKA,54,222,24.32
UNIVERSITAS JAMBI,PEND. OLAHRAGA & KESEHATAN,108,198,54.55
UNIVERSITAS JAMBI,PENDIDIKAN BAHASA ARAB,36,49,73.47
UNIVERSITAS JAMBI,PENDIDIKAN GURU PAUD,54,158,34.18
UNIVERSITAS JAMBI,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,36,193,18.65
UNIVERSITAS JAMBI,PENDIDIKAN SEJARAH,27,154,17.53
UNIVERSITAS JAMBI,PETERNAKAN,135,343,39.36
UNIVERSITAS JAMBI,PSIKOLOGI,45,531,8.47
UNIVERSITAS JAMBI,SASTRA INDONESIA,19,69,27.54
UNIVERSITAS JAMBI,SENI DRAMA TARI DAN MUSIK,19,42,45.24
UNIVERSITAS JAMBI,SISTEM INFORMASI,112,919,12.19
UNIVERSITAS JAMBI,TEKNIK ELEKTRO,36,125,28.8
UNIVERSITAS JAMBI,TEKNIK GEOFISIKA,36,28,100.0
UNIVERSITAS JAMBI,TEKNIK GEOLOGI,36,53,67.92
UNIVERSITAS JAMBI,TEKNIK KIMIA,36,64,56.25
UNIVERSITAS JAMBI,TEKNIK LINGKUNGAN,36,127,28.35
UNIVERSITAS JAMBI,TEKNIK PERTAMBANGAN,36,198,18.18
UNIVERSITAS JAMBI,TEKNIK PERTANIAN,45,163,27.61
UNIVERSITAS JAMBI,TEKNIK SIPIL,36,245,14.69
UNIVERSITAS JAMBI,TEKNOLOGI HASIL PERTANIAN,45,178,25.28
UNIVERSITAS JAMBI,TEKNOLOGI INDUSTRI PERTANIAN,45,104,43.27
