Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS JENDERAL SOEDIRMAN,ADMINISTRASI PUBLIK,S1,48,1454,3.3
UNIVERSITAS JENDERAL SOEDIRMAN,AGRIBISNIS,S1,40,936,4.27
UNIVERSITAS JENDERAL SOEDIRMAN,AGROTEKNOLOGI,S1,88,928,9.48
UNIVERSITAS JENDERAL SOEDIRMAN,AKUAKULTUR,S1,40,231,17.32
UNIVERSITAS JENDERAL SOEDIRMAN,AKUNTANSI,S1,48,1379,3.48
UNIVERSITAS JENDERAL SOEDIRMAN,BIOLOGI,S1,60,408,14.71
UNIVERSITAS JENDERAL SOEDIRMAN,EKONOMI PEMBANGUNAN,S1,48,622,7.72
UNIVERSITAS JENDERAL SOEDIRMAN,FARMASI,S1,40,1424,2.81
UNIVERSITAS JENDERAL SOEDIRMAN,FISIKA,S1,36,118,30.51
UNIVERSITAS JENDERAL SOEDIRMAN,HUBUNGAN INTERNASIONAL,S1,32,774,4.13
UNIVERSITAS JENDERAL SOEDIRMAN,HUKUM,S1,100,1576,6.35
UNIVERSITAS JENDERAL SOEDIRMAN,ILMU GIZI,S1,36,1128,3.19
UNIVERSITAS JENDERAL SOEDIRMAN,ILMU KELAUTAN,S1,40,465,8.6
UNIVERSITAS JENDERAL SOEDIRMAN,ILMU KOMUNIKASI,S1,32,1539,2.08
UNIVERSITAS JENDERAL SOEDIRMAN,ILMU POLITIK,S1,32,470,6.81
UNIVERSITAS JENDERAL SOEDIRMAN,INFORMATIKA,S1,42,1515,2.77
UNIVERSITAS JENDERAL SOEDIRMAN,KEDOKTERAN GIGI,S1,20,786,2.54
UNIVERSITAS JENDERAL SOEDIRMAN,KEPERAWATAN,S1,36,1070,3.36
UNIVERSITAS JENDERAL SOEDIRMAN,KESEHATAN MASYARAKAT,S1,48,1372,3.5
UNIVERSITAS JENDERAL SOEDIRMAN,KIMIA,S1,36,245,14.69
UNIVERSITAS JENDERAL SOEDIRMAN,MANAJEMEN,S1,48,1980,2.42
UNIVERSITAS JENDERAL SOEDIRMAN,MANAJEMEN SUMBERDAYA PERAIRAN,S1,40,516,7.75
UNIVERSITAS JENDERAL SOEDIRMAN,MATEMATIKA,S1,36,426,8.45
UNIVERSITAS JENDERAL SOEDIRMAN,PENDIDIKAN BAHASA INDONESIA,S1,24,482,4.98
UNIVERSITAS JENDERAL SOEDIRMAN,PENDIDIKAN BAHASA INGGRIS,S1,24,366,6.56
UNIVERSITAS JENDERAL SOEDIRMAN,PENDIDIKAN DOKTER,S1,52,2277,2.28
UNIVERSITAS JENDERAL SOEDIRMAN,PENDIDIKAN EKONOMI,S1,20,267,7.49
UNIVERSITAS JENDERAL SOEDIRMAN,PENDIDIKAN JASMANI,S1,32,126,25.4
UNIVERSITAS JENDERAL SOEDIRMAN,PETERNAKAN,S1,90,789,11.41
UNIVERSITAS JENDERAL SOEDIRMAN,SASTRA INDONESIA,S1,24,427,5.62
UNIVERSITAS JENDERAL SOEDIRMAN,SASTRA INGGRIS,S1,24,644,3.73
UNIVERSITAS JENDERAL SOEDIRMAN,SASTRA JEPANG,S1,24,290,8.28
UNIVERSITAS JENDERAL SOEDIRMAN,SOSIOLOGI,S1,48,857,5.6
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK ELEKTRO,S1,42,542,7.75
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK GEOLOGI,S1,34,674,5.04
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK INDUSTRI,S1,34,759,4.48
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK PERTANIAN,S1,40,515,7.77
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK SIPIL,S1,42,999,4.2
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNOLOGI PANGAN,S1,40,899,4.45
