Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS MARITIM RAJA ALI HAJI,AKUNTANSI,S1,44,166,26.51
UNIVERSITAS MARITIM RAJA ALI HAJI,BUDI DAYA PERAIRAN,S1,32,29,100.0
UNIVERSITAS MARITIM RAJA ALI HAJI,ILMU ADMINISTRASI NEGARA,S1,32,111,28.83
UNIVERSITAS MARITIM RAJA ALI HAJI,ILMU HUBUNGAN INTERNASIONAL,S1,32,62,51.61
UNIVERSITAS MARITIM RAJA ALI HAJI,ILMU HUKUM,S1,48,87,55.17
UNIVERSITAS MARITIM RAJA ALI HAJI,ILMU KELAUTAN,S1,32,49,65.31
UNIVERSITAS MARITIM RAJA ALI HAJI,ILMU PEMERINTAHAN,S1,32,126,25.4
UNIVERSITAS MARITIM RAJA ALI HAJI,MANAJEMEN,S1,60,154,38.96
UNIVERSITAS MARITIM RAJA ALI HAJI,MANAJEMEN SUMBERDAYA PERAIRAN,S1,32,44,72.73
UNIVERSITAS MARITIM RAJA ALI HAJI,PENDIDIKAN BAHASA INDONESIA,S1,48,93,51.61
UNIVERSITAS MARITIM RAJA ALI HAJI,PENDIDIKAN BAHASA INGGRIS,S1,36,71,50.7
UNIVERSITAS MARITIM RAJA ALI HAJI,PENDIDIKAN BIOLOGI,S1,36,43,83.72
UNIVERSITAS MARITIM RAJA ALI HAJI,PENDIDIKAN KIMIA,S1,36,17,100.0
UNIVERSITAS MARITIM RAJA ALI HAJI,PENDIDIKAN MATEMATIKA,S1,36,47,76.6
UNIVERSITAS MARITIM RAJA ALI HAJI,SOSIAL EKONOMI PERIKANAN,S1,16,16,100.0
UNIVERSITAS MARITIM RAJA ALI HAJI,SOSIOLOGI,S1,32,53,60.38
UNIVERSITAS MARITIM RAJA ALI HAJI,TEKNIK ELEKTRO,S1,48,26,100.0
UNIVERSITAS MARITIM RAJA ALI HAJI,TEKNIK INFORMATIKA,S1,48,94,51.06
UNIVERSITAS MARITIM RAJA ALI HAJI,TEKNIK PERKAPALAN,S1,32,20,100.0
UNIVERSITAS MARITIM RAJA ALI HAJI,TEKNOLOGI HASIL PERIKANAN,S1,32,25,100.0
