Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS MATARAM,AGRIBISNIS,138,539,25.6
UNIVERSITAS MATARAM,AGROEKOTEKNOLOGI,75,191,39.27
UNIVERSITAS MATARAM,AKUNTANSI,125,1117,11.19
UNIVERSITAS MATARAM,ARSITEKTUR,50,262,19.08
UNIVERSITAS MATARAM,BIOLOGI,40,121,33.06
UNIVERSITAS MATARAM,BUDIDAYA PERAIRAN,50,77,64.94
UNIVERSITAS MATARAM,EKONOMI PEMBANGUNAN,125,671,18.63
UNIVERSITAS MATARAM,FARMASI,43,589,7.3
UNIVERSITAS MATARAM,FISIKA,40,32,100.0
UNIVERSITAS MATARAM,HUBUNGAN INTERNASIONAL,60,506,11.86
UNIVERSITAS MATARAM,ILMU DAN TEKNOLOGI PANGAN,50,329,15.2
UNIVERSITAS MATARAM,ILMU HUKUM,240,1055,22.75
UNIVERSITAS MATARAM,ILMU KELAUTAN,50,40,100.0
UNIVERSITAS MATARAM,ILMU KOMUNIKASI,60,813,7.38
UNIVERSITAS MATARAM,ILMU LINGKUNGAN,40,54,74.07
UNIVERSITAS MATARAM,ILMU TANAH,45,123,36.59
UNIVERSITAS MATARAM,KEHUTANAN,25,186,13.44
UNIVERSITAS MATARAM,KETEKNIKAN PERTANIAN,50,192,26.04
UNIVERSITAS MATARAM,KIMIA,40,99,40.4
UNIVERSITAS MATARAM,MANAJEMEN,175,1838,9.52
UNIVERSITAS MATARAM,MATEMATIKA,40,111,36.04
UNIVERSITAS MATARAM,PENDIDIKAN ANAK USIA DINI,50,247,20.24
UNIVERSITAS MATARAM,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,100,341,29.33
UNIVERSITAS MATARAM,PENDIDIKAN BAHASA INGGRIS,110,434,25.35
UNIVERSITAS MATARAM,PENDIDIKAN BIOLOGI,60,120,50.0
UNIVERSITAS MATARAM,PENDIDIKAN DOKTER,60,887,6.76
UNIVERSITAS MATARAM,PENDIDIKAN FISIKA,50,52,96.15
UNIVERSITAS MATARAM,PENDIDIKAN GURU SEKOLAH DASAR,120,1121,10.7
UNIVERSITAS MATARAM,PENDIDIKAN KIMIA,50,56,89.29
UNIVERSITAS MATARAM,PENDIDIKAN MATEMATIKA,90,176,51.14
UNIVERSITAS MATARAM,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,90,172,52.33
UNIVERSITAS MATARAM,PENDIDIKAN SOSIOLOGI,40,166,24.1
UNIVERSITAS MATARAM,PETERNAKAN,150,215,69.77
UNIVERSITAS MATARAM,SOSIOLOGI,60,266,22.56
UNIVERSITAS MATARAM,TEKNIK ELEKTRO,75,229,32.75
UNIVERSITAS MATARAM,TEKNIK INFORMATIKA,50,852,5.87
UNIVERSITAS MATARAM,TEKNIK MESIN,75,115,65.22
UNIVERSITAS MATARAM,TEKNIK SIPIL,100,676,14.79
