Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI JAKARTA,AKUNTANSI,S1,54,1889,2.86
UNIVERSITAS NEGERI JAKARTA,BIMBINGAN & KONSELING,S1,36,1067,3.37
UNIVERSITAS NEGERI JAKARTA,BIOLOGI,S1,36,444,8.11
UNIVERSITAS NEGERI JAKARTA,BISNIS DIGITAL,S1,41,0,100.0
UNIVERSITAS NEGERI JAKARTA,FISIKA,S1,36,106,33.96
UNIVERSITAS NEGERI JAKARTA,GEOGRAFI,S1,27,434,6.22
UNIVERSITAS NEGERI JAKARTA,ILMU KEOLAHRAGAAN,S1,36,114,31.58
UNIVERSITAS NEGERI JAKARTA,ILMU KOMPUTER,S1,18,498,3.61
UNIVERSITAS NEGERI JAKARTA,ILMU KOMUNIKASI,S1,33,3247,1.02
UNIVERSITAS NEGERI JAKARTA,KEPELATIHAN KECABANGAN OLAHRAGA,S1,18,165,10.91
UNIVERSITAS NEGERI JAKARTA,KIMIA,S1,36,393,9.16
UNIVERSITAS NEGERI JAKARTA,MANAJEMEN,S1,54,3171,1.7
UNIVERSITAS NEGERI JAKARTA,MANAJEMEN PENDIDIKAN,S1,41,1325,3.09
UNIVERSITAS NEGERI JAKARTA,MATEMATIKA,S1,18,316,5.7
UNIVERSITAS NEGERI JAKARTA,OLAHRAGA REKREASI,S1,36,97,37.11
UNIVERSITAS NEGERI JAKARTA,PEND. GURU PAUD,S1,54,678,7.96
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN ADMINISTRASI PERKANTORAN,S1,36,881,4.09
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN AGAMA ISLAM,S1,36,982,3.67
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA ARAB,S1,45,561,8.02
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA INDONESIA,S1,41,714,5.74
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA INGGRIS,S1,34,746,4.56
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA JEPANG,S1,34,487,6.98
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA JERMAN,S1,23,155,14.84
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA MANDARIN,S1,12,154,7.79
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA PRANCIS,S1,14,163,8.59
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BIOLOGI,S1,36,365,9.86
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BISNIS,S1,36,742,4.85
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN EKONOMI,S1,54,539,10.02
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN FISIKA,S1,36,168,21.43
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN GEOGRAFI,S1,36,271,13.28
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN GURU SEKOLAH DASAR,S1,135,2047,6.6
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN ILMU PENGETAHUAN SOSIAL,S1,36,446,8.07
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN INFORMATIKA,S1,41,828,4.95
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN JASMANI,S1,54,291,18.56
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN KEPELATIHAN OLAHRAGA,S1,41,181,22.65
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN KHUSUS,S1,54,349,15.47
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN KIMIA,S1,36,217,16.59
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN MASYARAKAT,S1,41,416,9.86
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN MATEMATIKA,S1,36,415,8.67
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN MUSIK,S1,23,151,15.23
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN PANCASILA & KEWARGANEGARAAN,S1,36,459,7.84
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN SEJARAH,S1,36,349,10.32
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN SENI RUPA,S1,32,170,18.82
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN SOSIOLOGI,S1,36,437,8.24
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN TARI,S1,23,131,17.56
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN VOKASIONAL DESAIN FASHION,S1,23,603,3.81
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN VOKASIONAL KESEJAHTERAAN KELUARGA,S1,27,250,10.8
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN VOKASIONAL KONSTRUKSI BANGUNAN,S1,41,216,18.98
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN VOKASIONAL SENI KULINER,S1,27,1116,2.42
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN VOKASIONAL TATA RIAS,S1,18,704,2.56
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,S1,32,236,13.56
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRONIKA,S1,35,107,32.71
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN VOKASIONAL TEKNIK MESIN,S1,41,157,26.11
UNIVERSITAS NEGERI JAKARTA,PSIKOLOGI,S1,90,3211,2.8
UNIVERSITAS NEGERI JAKARTA,REKAYASA KESELAMATAN KEBAKARAN,S1,18,154,11.69
UNIVERSITAS NEGERI JAKARTA,SASTRA INDONESIA,S1,32,625,5.12
UNIVERSITAS NEGERI JAKARTA,SASTRA INGGRIS,S1,23,1231,1.87
UNIVERSITAS NEGERI JAKARTA,SISTEM DAN TEKNOLOGI INFORMASI,S1,21,768,2.73
UNIVERSITAS NEGERI JAKARTA,SOSIOLOGI,S1,36,751,4.79
UNIVERSITAS NEGERI JAKARTA,STATISTIKA,S1,18,470,3.83
UNIVERSITAS NEGERI JAKARTA,TEKNIK MESIN,S1,18,726,2.48
UNIVERSITAS NEGERI JAKARTA,TEKNOLOGI PENDIDIKAN,S1,36,458,7.86
