Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI MAKASSAR,ADMINISTRASI KESEHATAN,S1,69,502,13.75
UNIVERSITAS NEGERI MAKASSAR,ADMINISTRASI NEGARA,S1,48,981,4.89
UNIVERSITAS NEGERI MAKASSAR,ADMINISTRASI PENDIDIKAN,S1,47,260,18.08
UNIVERSITAS NEGERI MAKASSAR,AKUNTANSI,D4,32,0,100.0
UNIVERSITAS NEGERI MAKASSAR,AKUNTANSI,S1,64,1137,5.63
UNIVERSITAS NEGERI MAKASSAR,ARSITEKTUR,S1,29,326,8.9
UNIVERSITAS NEGERI MAKASSAR,BAHASA INGGRIS,D4,53,0,100.0
UNIVERSITAS NEGERI MAKASSAR,BIMBINGAN DAN KONSELING,S1,47,841,5.59
UNIVERSITAS NEGERI MAKASSAR,BIOLOGI,S1,15,109,13.76
UNIVERSITAS NEGERI MAKASSAR,BISNIS DIGITAL,S1,32,375,8.53
UNIVERSITAS NEGERI MAKASSAR,DESAIN KOMUNIKASI VISUAL,S1,32,181,17.68
UNIVERSITAS NEGERI MAKASSAR,EKONOMI PEMBANGUNAN,S1,32,344,9.3
UNIVERSITAS NEGERI MAKASSAR,FISIKA,S1,15,38,39.47
UNIVERSITAS NEGERI MAKASSAR,GEOGRAFI,S1,15,51,29.41
UNIVERSITAS NEGERI MAKASSAR,GIZI,S1,67,454,14.76
UNIVERSITAS NEGERI MAKASSAR,ILMU ADMINISTRASI BISNIS,S1,35,666,5.26
UNIVERSITAS NEGERI MAKASSAR,ILMU KEOLAHRAGAAN,S1,52,102,50.98
UNIVERSITAS NEGERI MAKASSAR,KEWIRAUSAHAAN,S1,32,364,8.79
UNIVERSITAS NEGERI MAKASSAR,KIMIA,S1,15,73,20.55
UNIVERSITAS NEGERI MAKASSAR,MANAJEMEN,S1,110,2139,5.14
UNIVERSITAS NEGERI MAKASSAR,MATEMATIKA,S1,15,98,15.31
UNIVERSITAS NEGERI MAKASSAR,MESIN OTOMOTIF,D4,15,0,100.0
UNIVERSITAS NEGERI MAKASSAR,P. GURU SEK DASAR BILINGUAL (KAMP MAKASSAR),S1,35,147,23.81
