Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI MEDAN,AKUNTANSI,55,1050,5.24
UNIVERSITAS NEGERI MEDAN,BIOLOGI,70,315,22.22
UNIVERSITAS NEGERI MEDAN,BISNIS DIGITAL,55,589,9.34
UNIVERSITAS NEGERI MEDAN,FISIKA,44,101,43.56
UNIVERSITAS NEGERI MEDAN,GIZI,55,796,6.91
UNIVERSITAS NEGERI MEDAN,ILMU EKONOMI,55,459,11.98
UNIVERSITAS NEGERI MEDAN,ILMU KEOLAHRAGAAN,92,97,94.85
UNIVERSITAS NEGERI MEDAN,ILMU KOMPUTER,44,750,5.87
UNIVERSITAS NEGERI MEDAN,KEWIRAUSAHAAN,55,449,12.25
UNIVERSITAS NEGERI MEDAN,KIMIA,44,179,24.58
UNIVERSITAS NEGERI MEDAN,MANAJEMEN,55,1486,3.7
UNIVERSITAS NEGERI MEDAN,MATEMATIKA,55,265,20.75
UNIVERSITAS NEGERI MEDAN,"PEND. BAHASA, SASTRA INDONESIA & DAERAH",110,1066,10.32
UNIVERSITAS NEGERI MEDAN,PEND. GURU PENDIDIKAN ANAK USIA DINI,100,521,19.19
UNIVERSITAS NEGERI MEDAN,"PEND. JASMANI, KESEHATAN & REKREASI",159,537,29.61
UNIVERSITAS NEGERI MEDAN,PEND. PANCASILA & KEWARGANEGARAAN (PPKN),88,553,15.91
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN ADMINISTRASI PERKANTORAN,41,536,7.65
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN AKUNTANSI,41,294,13.95
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN ANTROPOLOGI,82,326,25.15
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN BAHASA INGGRIS,110,1039,10.59
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN BAHASA JERMAN,67,98,68.37
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN BAHASA PERANCIS,70,60,100.0
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN BIMBINGAN DAN KONSELING,100,1103,9.07
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN BIOLOGI,88,637,13.81
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN BISNIS,41,299,13.71
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN EKONOMI,41,248,16.53
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN FISIKA,110,221,49.77
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN GEOGRAFI,88,388,22.68
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN GURU SEKOLAH DASAR (PGSD),230,3561,6.46
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN IPA,35,307,11.4
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN KEPELATIHAN OLAHRAGA (PKO),159,294,54.08
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN KIMIA,110,353,31.16
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN LUAR SEKOLAH (PLS),55,141,39.01
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN MATEMATIKA,132,830,15.9
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN SEJARAH,88,382,23.04
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN SENI MUSIK,66,245,26.94
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN SENI RUPA,55,107,51.4
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN SENI TARI,50,78,64.1
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN TATA BOGA,55,585,9.4
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN TATA BUSANA,55,588,9.35
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN TATA RIAS,55,375,14.67
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN TEKNIK BANGUNAN,66,82,80.49
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN TEKNIK ELEKTRO,44,131,33.59
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN TEKNIK MESIN,55,244,22.54
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN TEKNIK OTOMOTIF,55,159,34.59
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN TEKNOLOGI INFORMATIKA DAN KOMPUTER,50,562,8.9
UNIVERSITAS NEGERI MEDAN,SASTRA INDONESIA,60,302,19.87
UNIVERSITAS NEGERI MEDAN,SASTRA INGGRIS,55,605,9.09
UNIVERSITAS NEGERI MEDAN,SENI PERTUNJUKAN,40,21,100.0
UNIVERSITAS NEGERI MEDAN,TEKNIK ELEKTRO,50,316,15.82
UNIVERSITAS NEGERI MEDAN,TEKNIK SIPIL,60,543,11.05
