Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI SURABAYA,ADMINISTRASI NEGARA,40,0,100.0
UNIVERSITAS NEGERI SURABAYA,AKUNTANSI,54,1094,4.94
UNIVERSITAS NEGERI SURABAYA,BIOLOGI,31,352,8.81
UNIVERSITAS NEGERI SURABAYA,DESAIN GRAFIS,13,0,100.0
UNIVERSITAS NEGERI SURABAYA,DESAIN KOMUNIKASI VISUAL,27,573,4.71
UNIVERSITAS NEGERI SURABAYA,EKONOMI,36,537,6.7
UNIVERSITAS NEGERI SURABAYA,EKONOMI ISLAM,40,380,10.53
UNIVERSITAS NEGERI SURABAYA,FISIKA,31,127,24.41
UNIVERSITAS NEGERI SURABAYA,GIZI,36,753,4.78
UNIVERSITAS NEGERI SURABAYA,ILMU ADMINISTRASI NEGARA,45,1232,3.65
UNIVERSITAS NEGERI SURABAYA,ILMU HUKUM,90,1086,8.29
UNIVERSITAS NEGERI SURABAYA,ILMU KEOLAHRAGAAN,81,136,59.56
UNIVERSITAS NEGERI SURABAYA,ILMU KOMUNIKASI,36,1236,2.91
UNIVERSITAS NEGERI SURABAYA,KEPELATIHAN OLAHRAGA,13,0,100.0
UNIVERSITAS NEGERI SURABAYA,KIMIA,31,243,12.76
UNIVERSITAS NEGERI SURABAYA,KURIKULUM DAN TEKNOLOGI PENDIDIKAN,40,274,14.6
UNIVERSITAS NEGERI SURABAYA,MANAJEMEN,81,2251,3.6
UNIVERSITAS NEGERI SURABAYA,MANAJEMEN INFORMATIKA,36,0,100.0
UNIVERSITAS NEGERI SURABAYA,MANAJEMEN PENDIDIKAN,40,488,8.2
UNIVERSITAS NEGERI SURABAYA,MATEMATIKA,31,367,8.45
UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAERAH (JAWA),45,460,9.78
UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAN SASTRA INDONESIA,47,753,6.24
UNIVERSITAS NEGERI SURABAYA,P. BAHASA INGGRIS,54,743,7.27
UNIVERSITAS NEGERI SURABAYA,P. BAHASA JEPANG,36,190,18.95
UNIVERSITAS NEGERI SURABAYA,P. BAHASA JERMAN,18,71,25.35
UNIVERSITAS NEGERI SURABAYA,P. EKONOMI,40,339,11.8
UNIVERSITAS NEGERI SURABAYA,P. GEOGRAFI,45,316,14.24
UNIVERSITAS NEGERI SURABAYA,P. SENDRATASIK,40,87,45.98
UNIVERSITAS NEGERI SURABAYA,P. SENI RUPA,34,130,26.15
UNIVERSITAS NEGERI SURABAYA,PEND. ADM. PERKANTORAN,40,476,8.4
UNIVERSITAS NEGERI SURABAYA,PEND. AKUNTANSI,36,276,13.04
UNIVERSITAS NEGERI SURABAYA,PEND. BAHASA MANDARIN,31,146,21.23
UNIVERSITAS NEGERI SURABAYA,PEND. BIOLOGI,45,492,9.15
UNIVERSITAS NEGERI SURABAYA,PEND. FISIKA,45,188,23.94
