Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NUSA CENDANA,AGRIBISNIS,S1,79,139,56.83
UNIVERSITAS NUSA CENDANA,AGRONOMI/AGROEKOTEKNOLOGI,S1,95,112,84.82
UNIVERSITAS NUSA CENDANA,AKUNTANSI,S1,68,1162,5.85
UNIVERSITAS NUSA CENDANA,BIMBINGAN KONSELING,S1,45,109,41.28
UNIVERSITAS NUSA CENDANA,BIOLOGI,S1,36,64,56.25
UNIVERSITAS NUSA CENDANA,BUDIDAYA PERIKANAN,S1,27,25,100.0
UNIVERSITAS NUSA CENDANA,EKONOMI PEMBANGUNAN,S1,45,239,18.83
UNIVERSITAS NUSA CENDANA,FISIKA,S1,36,26,100.0
UNIVERSITAS NUSA CENDANA,ILMU ADM.NEGARA,S1,113,694,16.28
UNIVERSITAS NUSA CENDANA,ILMU ADM.NIAGA,S1,108,256,42.19
UNIVERSITAS NUSA CENDANA,ILMU HUKUM,S1,225,647,34.78
UNIVERSITAS NUSA CENDANA,ILMU KESEHATAN MASYARAKAT,S1,106,678,15.63
UNIVERSITAS NUSA CENDANA,ILMU KOMPUTER,S1,36,476,7.56
UNIVERSITAS NUSA CENDANA,ILMU KOMUNIKASI,S1,72,625,11.52
UNIVERSITAS NUSA CENDANA,ILMU PETERNAKAN,S1,225,150,100.0
UNIVERSITAS NUSA CENDANA,ILMU POLITIK,S1,80,135,59.26
UNIVERSITAS NUSA CENDANA,KEDOKTERAN HEWAN,S1,27,172,15.7
UNIVERSITAS NUSA CENDANA,KEHUTANAN,S1,36,145,24.83
UNIVERSITAS NUSA CENDANA,KIMIA,S1,36,46,78.26
UNIVERSITAS NUSA CENDANA,MANAJEMEN,S1,113,839,13.47
UNIVERSITAS NUSA CENDANA,MANAJEMEN SUMBER DAYA PERAIRAN,S1,36,50,72.0
UNIVERSITAS NUSA CENDANA,MATEMATIKA,S1,36,78,46.15
UNIVERSITAS NUSA CENDANA,PEND. ANAK USIA DINI,S1,45,147,30.61
UNIVERSITAS NUSA CENDANA,PEND. BHS & SASTRA INDO.,S1,68,126,53.97
UNIVERSITAS NUSA CENDANA,PEND. BHS. INGGRIS,S1,81,204,39.71
UNIVERSITAS NUSA CENDANA,PEND. BIOLOGI,S1,41,105,39.05
UNIVERSITAS NUSA CENDANA,PEND. EKONOMI,S1,63,76,82.89
UNIVERSITAS NUSA CENDANA,PEND. FISIKA,S1,54,54,100.0
UNIVERSITAS NUSA CENDANA,PEND. GEOGRAFI,S1,63,149,42.28
UNIVERSITAS NUSA CENDANA,PEND. GURU SEKOLAH DASAR,S1,81,658,12.31
UNIVERSITAS NUSA CENDANA,PEND. KIMIA,S1,54,57,94.74
UNIVERSITAS NUSA CENDANA,PEND. LUAR SEKOLAH,S1,45,30,100.0
UNIVERSITAS NUSA CENDANA,PEND. MATEMATIKA,S1,54,153,35.29
UNIVERSITAS NUSA CENDANA,PEND. SEJARAH,S1,63,90,70.0
UNIVERSITAS NUSA CENDANA,PEND. TEKNIK BANGUNAN,S1,36,27,100.0
UNIVERSITAS NUSA CENDANA,PEND. TEKNIK ELEKTRO,S1,36,48,75.0
UNIVERSITAS NUSA CENDANA,PEND. TEKNIK MESIN,S1,27,22,100.0
UNIVERSITAS NUSA CENDANA,PENDIDIKAN DOKTER,S1,38,585,6.5
UNIVERSITAS NUSA CENDANA,PENJASKESREK,S1,45,16,100.0
UNIVERSITAS NUSA CENDANA,PPKN,S1,63,221,28.51
UNIVERSITAS NUSA CENDANA,PSIKOLOGI,S1,68,153,44.44
UNIVERSITAS NUSA CENDANA,SOSIOLOGI,S1,54,159,33.96
UNIVERSITAS NUSA CENDANA,TEKNIK ARSITEKTUR,S1,36,153,23.53
UNIVERSITAS NUSA CENDANA,TEKNIK ELEKTRO,S1,36,159,22.64
UNIVERSITAS NUSA CENDANA,TEKNIK MESIN,S1,36,66,54.55
UNIVERSITAS NUSA CENDANA,TEKNIK PERTAMBANGAN,S1,18,91,19.78
UNIVERSITAS NUSA CENDANA,TEKNIK SIPIL,S1,36,551,6.53
