Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS PENDIDIKAN GANESHA,AKUAKULTUR,S1,24,16,100.0
UNIVERSITAS PENDIDIKAN GANESHA,AKUNTANSI,S1,70,456,15.35
UNIVERSITAS PENDIDIKAN GANESHA,BIMBINGAN KONSELING,S1,20,79,25.32
UNIVERSITAS PENDIDIKAN GANESHA,BIOLOGI,S1,24,28,85.71
UNIVERSITAS PENDIDIKAN GANESHA,ILMU HUKUM,S1,80,226,35.4
UNIVERSITAS PENDIDIKAN GANESHA,ILMU KEOLAHRAGAAN,S1,12,6,100.0
UNIVERSITAS PENDIDIKAN GANESHA,ILMU KOMPUTER,S1,32,58,55.17
UNIVERSITAS PENDIDIKAN GANESHA,KEDOKTERAN,S1,20,429,4.66
UNIVERSITAS PENDIDIKAN GANESHA,KIMIA,S1,24,24,100.0
UNIVERSITAS PENDIDIKAN GANESHA,MANAJEMEN,S1,56,539,10.39
UNIVERSITAS PENDIDIKAN GANESHA,MATEMATIKA,S1,20,32,62.5
UNIVERSITAS PENDIDIKAN GANESHA,PEND. BAHASA JEPANG,S1,19,25,76.0
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN BAHASA BALI,S1,16,18,88.89
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,24,67,35.82
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN BAHASA INGGRIS,S1,95,258,36.82
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN BIOLOGI,S1,24,37,64.86
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN EKONOMI,S1,48,104,46.15
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN FISIKA,S1,24,30,80.0
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN GEOGRAFI,S1,12,14,85.71
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN GURU ANAK USIA DINI,S1,20,52,38.46
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN GURU SEKOLAH DASAR,S1,140,536,26.12
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN IPA,S1,24,26,92.31
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,S1,60,66,90.91
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN KEPELATIHAN OLAHRAGA,S1,12,14,85.71
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN KESEJAHTERAAN KELUARGA,S1,16,44,36.36
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN KIMIA,S1,24,28,85.71
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN MATEMATIKA,S1,52,93,55.91
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,12,26,46.15
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN SEJARAH,S1,12,21,57.14
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN SENI RUPA,S1,20,24,83.33
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN SOSIOLOGI,S1,14,37,37.84
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN TEKNIK ELEKTRO,S1,12,26,46.15
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN TEKNIK INFORMATIKA,S1,42,114,36.84
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN TEKNIK MESIN,S1,12,17,70.59
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN VOKASIONAL SENI KULINER,S1,14,25,56.0
UNIVERSITAS PENDIDIKAN GANESHA,SISTEM INFORMASI,S1,32,111,28.83
UNIVERSITAS PENDIDIKAN GANESHA,TEKNOLOGI PENDIDIKAN,S1,20,29,68.97
