Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS PENDIDIKAN INDONESIA,ADMINISTRASI PENDIDIKAN,S1,40,841,4.76
UNIVERSITAS PENDIDIKAN INDONESIA,AKUNTANSI,S1,40,1137,3.52
UNIVERSITAS PENDIDIKAN INDONESIA,ARSITEKTUR,S1,40,713,5.61
UNIVERSITAS PENDIDIKAN INDONESIA,BAHASA DAN SASTRA INDONESIA,S1,35,518,6.76
UNIVERSITAS PENDIDIKAN INDONESIA,BAHASA DAN SASTRA INGGRIS,S1,45,1272,3.54
UNIVERSITAS PENDIDIKAN INDONESIA,BIMBINGAN DAN KONSELING,S1,41,1168,3.51
UNIVERSITAS PENDIDIKAN INDONESIA,BIOLOGI,S1,20,283,7.07
UNIVERSITAS PENDIDIKAN INDONESIA,BISNIS DIGITAL (KAMPUS UPI TASIKMALAYA),S1,45,289,15.57
UNIVERSITAS PENDIDIKAN INDONESIA,DESAIN KOMUNIKASI VISUAL,S1,70,868,8.06
UNIVERSITAS PENDIDIKAN INDONESIA,DESAIN PRODUK INDUSTRI - KAMPUS UPI DI TASIKMALAYA,S1,36,0,100.0
UNIVERSITAS PENDIDIKAN INDONESIA,FILM DAN TELEVISI,S1,50,308,16.23
UNIVERSITAS PENDIDIKAN INDONESIA,FISIKA,S1,21,80,26.25
UNIVERSITAS PENDIDIKAN INDONESIA,GIZI,S1,30,0,100.0
UNIVERSITAS PENDIDIKAN INDONESIA,ILMU EKONOMI DAN KEUANGAN ISLAM,S1,40,522,7.66
UNIVERSITAS PENDIDIKAN INDONESIA,ILMU KEOLAHRAGAAN,S1,60,145,41.38
UNIVERSITAS PENDIDIKAN INDONESIA,ILMU KOMPUTER,S1,42,1011,4.15
UNIVERSITAS PENDIDIKAN INDONESIA,ILMU KOMUNIKASI,S1,36,1731,2.08
UNIVERSITAS PENDIDIKAN INDONESIA,ILMU PENDIDIKAN AGAMA ISLAM,S1,55,1021,5.39
UNIVERSITAS PENDIDIKAN INDONESIA,INDUSTRI PARIWISATA KAMPUS SUMEDANG,S1,60,0,100.0
UNIVERSITAS PENDIDIKAN INDONESIA,KEPELATIHAN FISIK OLAHRAGA,S1,40,159,25.16
UNIVERSITAS PENDIDIKAN INDONESIA,KEPERAWATAN - KAMPUS SUMEDANG,S1,40,768,5.21
UNIVERSITAS PENDIDIKAN INDONESIA,KEWIRAUSAHAAN KAMPUS TASIKMALAYA,S1,37,214,17.29
UNIVERSITAS PENDIDIKAN INDONESIA,KIMIA,S1,40,334,11.98
UNIVERSITAS PENDIDIKAN INDONESIA,LOGISTIK KELAUTAN - KAMPUS SERANG,S1,40,79,50.63
