Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,ADMINISTRASI PUBLIK,S1,72,107,67.29
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,AGRIBISNIS,S1,45,40,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,AGROTEKNOLOGI,S1,36,8,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,AKUNTANSI,S1,72,93,77.42
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,EKONOMI PEMBANGUNAN,S1,36,24,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,FARMASI,S1,54,85,63.53
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,HUKUM,S1,72,65,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,ILMU KELAUTAN,S1,36,13,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,ILMU KOMPUTER,S1,72,111,64.86
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,ILMU PERIKANAN,S1,36,21,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,KIMIA,S1,36,7,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,MANAJEMEN,S1,54,153,35.29
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,MATEMATIKA,S1,36,11,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN BAHASA INDONESIA,S1,72,17,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN BAHASA INGGRIS,S1,54,25,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN BIOLOGI,S1,49,20,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN FISIKA,S1,36,3,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN GEOGRAFI,S1,54,32,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN JASMANI,S1,54,8,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN KIMIA,S1,36,3,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN MATEMATIKA,S1,54,8,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,36,19,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PETERNAKAN,S1,36,13,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,SISTEM INFORMASI,S1,72,110,65.45
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,TEKNIK MESIN,S1,36,33,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,TEKNIK PERKAPALAN,S1,36,38,94.74
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,TEKNIK PERTAMBANGAN,S1,45,64,70.31
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,TEKNIK SIPIL,S1,41,60,68.33
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,TEKNOLOGI HASIL PERTANIAN,S1,36,5,100.0
