Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS SILIWANGI,AGRIBISNIS,S1,60,639,9.39
UNIVERSITAS SILIWANGI,AGROTEKNOLOGI,S1,40,386,10.36
UNIVERSITAS SILIWANGI,AKUNTANSI,S1,100,884,11.31
UNIVERSITAS SILIWANGI,EKONOMI PEMBANGUNAN,S1,100,550,18.18
UNIVERSITAS SILIWANGI,EKONOMI SYARIAH,S1,60,603,9.95
UNIVERSITAS SILIWANGI,GIZI,S1,45,589,7.64
UNIVERSITAS SILIWANGI,ILMU POLITIK,S1,60,510,11.76
UNIVERSITAS SILIWANGI,INFORMATIKA,S1,60,720,8.33
UNIVERSITAS SILIWANGI,KESEHATAN MASYARAKAT,S1,60,941,6.38
UNIVERSITAS SILIWANGI,MANAJEMEN,S1,120,1611,7.45
UNIVERSITAS SILIWANGI,PENDIDIKAN BAHASA INDONESIA,S1,60,545,11.01
UNIVERSITAS SILIWANGI,PENDIDIKAN BAHASA INGGRIS,S1,60,480,12.5
UNIVERSITAS SILIWANGI,PENDIDIKAN BIOLOGI,S1,60,211,28.44
UNIVERSITAS SILIWANGI,PENDIDIKAN EKONOMI,S1,60,268,22.39
UNIVERSITAS SILIWANGI,PENDIDIKAN FISIKA,S1,70,91,76.92
UNIVERSITAS SILIWANGI,PENDIDIKAN GEOGRAFI,S1,60,281,21.35
UNIVERSITAS SILIWANGI,PENDIDIKAN JASMANI,S1,60,239,25.1
UNIVERSITAS SILIWANGI,PENDIDIKAN MASYARAKAT,S1,60,268,22.39
UNIVERSITAS SILIWANGI,PENDIDIKAN MATEMATIKA,S1,70,358,19.55
UNIVERSITAS SILIWANGI,PENDIDIKAN SEJARAH,S1,100,287,34.84
UNIVERSITAS SILIWANGI,TEKNIK ELEKTRO,S1,30,233,12.88
UNIVERSITAS SILIWANGI,TEKNIK SIPIL,S1,40,577,6.93
