Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS TIDAR,AGROTEKNOLOGI,S1,75,367,20.44
UNIVERSITAS TIDAR,AKUAKULTUR,S1,75,122,61.48
UNIVERSITAS TIDAR,AKUNTANSI,S1,100,502,19.92
UNIVERSITAS TIDAR,EKONOMI PEMBANGUNAN,S1,100,441,22.68
UNIVERSITAS TIDAR,HUKUM,S1,100,328,30.49
UNIVERSITAS TIDAR,ILMU ADMINISTRASI NEGARA,S1,100,622,16.08
UNIVERSITAS TIDAR,ILMU KOMUNIKASI,S1,100,670,14.93
UNIVERSITAS TIDAR,MANAJEMEN,S1,100,696,14.37
UNIVERSITAS TIDAR,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,100,589,16.98
UNIVERSITAS TIDAR,PENDIDIKAN BAHASA INGGRIS,S1,100,408,24.51
UNIVERSITAS TIDAR,PENDIDIKAN BIOLOGI,S1,80,139,57.55
UNIVERSITAS TIDAR,PENDIDIKAN ILMU PENGETAHUAN ALAM,S1,80,204,39.22
UNIVERSITAS TIDAR,PENDIDIKAN MATEMATIKA,S1,80,208,38.46
UNIVERSITAS TIDAR,PETERNAKAN,S1,75,180,41.67
UNIVERSITAS TIDAR,TEKNIK ELEKTRO,S1,80,254,31.5
UNIVERSITAS TIDAR,TEKNIK MESIN,S1,80,229,34.93
UNIVERSITAS TIDAR,TEKNIK SIPIL,S1,80,312,25.64
