Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
"UPN ""VETERAN"" JAWA TIMUR",ADMINISTRASI BISNIS,160,1188,13.47
"UPN ""VETERAN"" JAWA TIMUR",ADMINISTRASI PUBLIK,150,736,20.38
"UPN ""VETERAN"" JAWA TIMUR",AGRIBISNIS,115,501,22.95
"UPN ""VETERAN"" JAWA TIMUR",AGROTEKNOLOGI,140,383,36.55
"UPN ""VETERAN"" JAWA TIMUR",AKUNTANSI,180,859,20.95
"UPN ""VETERAN"" JAWA TIMUR",ARSITEKTUR,70,445,15.73
"UPN ""VETERAN"" JAWA TIMUR",DESAIN KOMUNIKASI VISUAL,80,305,26.23
"UPN ""VETERAN"" JAWA TIMUR",EKONOMI PEMBANGUNAN,115,948,12.13
"UPN ""VETERAN"" JAWA TIMUR",HUKUM,165,1056,15.62
"UPN ""VETERAN"" JAWA TIMUR",ILMU HUBUNGAN INTERNASIONAL,90,405,22.22
"UPN ""VETERAN"" JAWA TIMUR",ILMU KOMUNIKASI,165,1455,11.34
"UPN ""VETERAN"" JAWA TIMUR",INFORMATIKA,165,851,19.39
"UPN ""VETERAN"" JAWA TIMUR",MANAJEMEN,225,1505,14.95
"UPN ""VETERAN"" JAWA TIMUR",PARIWISATA,40,480,8.33
"UPN ""VETERAN"" JAWA TIMUR",SAINS DATA,40,0,100.0
"UPN ""VETERAN"" JAWA TIMUR",SISTEM INFORMASI,120,1156,10.38
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK INDUSTRI,125,945,13.23
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK KIMIA,140,381,36.75
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK LINGKUNGAN,75,534,14.04
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK MESIN,40,0,100.0
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK SIPIL,70,615,11.38
"UPN ""VETERAN"" JAWA TIMUR",TEKNOLOGI PANGAN,70,724,9.67
