Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
"UPN ""VETERAN"" YOGYAKARTA",METALURGI,40,168,23.81
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOMATIKA,38,133,28.57
"UPN ""VETERAN"" YOGYAKARTA",MANAJEMEN,183,2007,9.12
"UPN ""VETERAN"" YOGYAKARTA",AGROTEKNOLOGI,175,818,21.39
"UPN ""VETERAN"" YOGYAKARTA",AKUNTANSI,150,1246,12.04
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOFISIKA,45,147,30.61
"UPN ""VETERAN"" YOGYAKARTA",ILMU KOMUNIKASI,100,1954,5.12
"UPN ""VETERAN"" YOGYAKARTA",ILMU HUBUNGAN INTERNASIONAL,100,839,11.92
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK INFORMATIKA,100,1503,6.65
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK PERMINYAKAN,85,1183,7.19
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK LINGKUNGAN,63,691,9.12
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOLOGI,78,671,11.62
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK INDUSTRI,80,1127,7.1
"UPN ""VETERAN"" YOGYAKARTA",AGRIBISNIS,60,547,10.97
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK KIMIA,80,524,15.27
"UPN ""VETERAN"" YOGYAKARTA",EKONOMI PEMBANGUNAN,80,539,14.84
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK PERTAMBANGAN,85,1425,5.96
"UPN ""VETERAN"" YOGYAKARTA",HUBUNGAN MASYARAKAT,80,773,10.35
"UPN ""VETERAN"" YOGYAKARTA",ILMU TANAH,60,219,27.4
"UPN ""VETERAN"" YOGYAKARTA",ILMU ADMINISTRASI BISNIS,90,1305,6.9
"UPN ""VETERAN"" YOGYAKARTA",SISTEM INFORMASI,50,487,10.27
"UPN ""VETERAN"" JAWA TIMUR",PARIWISATA,40,480,8.33
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK INDUSTRI,125,945,13.23
"UPN ""VETERAN"" JAWA TIMUR",INFORMATIKA,165,851,19.39
"UPN ""VETERAN"" JAWA TIMUR",ILMU KOMUNIKASI,165,1455,11.34
"UPN ""VETERAN"" JAWA TIMUR",HUKUM,165,1056,15.62
"UPN ""VETERAN"" JAWA TIMUR",ADMINISTRASI BISNIS,160,1188,13.47
"UPN ""VETERAN"" JAWA TIMUR",ARSITEKTUR,70,445,15.73
"UPN ""VETERAN"" JAWA TIMUR",SAINS DATA,40,0,100.0
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK MESIN,40,0,100.0
"UPN ""VETERAN"" JAWA TIMUR",AGRIBISNIS,115,501,22.95
"UPN ""VETERAN"" JAWA TIMUR",SISTEM INFORMASI,120,1156,10.38
"UPN ""VETERAN"" JAWA TIMUR",AKUNTANSI,180,859,20.95
"UPN ""VETERAN"" JAWA TIMUR",EKONOMI PEMBANGUNAN,115,948,12.13
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK LINGKUNGAN,75,534,14.04
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK SIPIL,70,615,11.38
"UPN ""VETERAN"" JAWA TIMUR",AGROTEKNOLOGI,140,383,36.55
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK KIMIA,140,381,36.75
"UPN ""VETERAN"" JAWA TIMUR",TEKNOLOGI PANGAN,70,724,9.67
"UPN ""VETERAN"" JAWA TIMUR",ILMU HUBUNGAN INTERNASIONAL,90,405,22.22
"UPN ""VETERAN"" JAWA TIMUR",ADMINISTRASI PUBLIK,150,736,20.38
"UPN ""VETERAN"" JAWA TIMUR",MANAJEMEN,225,1505,14.95
"UPN ""VETERAN"" JAWA TIMUR",DESAIN KOMUNIKASI VISUAL,80,305,26.23
"UPN ""VETERAN"" JAKARTA",KESEHATAN MASYARAKAT,70,1650,4.24
"UPN ""VETERAN"" JAKARTA",TEKNIK PERKAPALAN,35,206,16.99
"UPN ""VETERAN"" JAKARTA",MANAJEMEN,140,2671,5.24
"UPN ""VETERAN"" JAKARTA",KEPERAWATAN,70,1203,5.82
"UPN ""VETERAN"" JAKARTA",FARMASI,30,496,6.05
"UPN ""VETERAN"" JAKARTA",TEKNIK MESIN,53,590,8.98
"UPN ""VETERAN"" JAKARTA",SISTEM INFORMASI,88,1920,4.58
"UPN ""VETERAN"" JAKARTA",AKUNTANSI,120,1832,6.55
"UPN ""VETERAN"" JAKARTA",HUBUNGAN INTERNASIONAL,120,1576,7.61
"UPN ""VETERAN"" JAKARTA",EKONOMI SYARIAH,40,630,6.35
"UPN ""VETERAN"" JAKARTA",TEKNIK INDUSTRI,53,734,7.22
"UPN ""VETERAN"" JAKARTA",TEKNIK ELEKTRO,53,361,14.68
"UPN ""VETERAN"" JAKARTA",EKONOMI PEMBANGUNAN,60,873,6.87
"UPN ""VETERAN"" JAKARTA",KEDOKTERAN,75,1848,4.06
"UPN ""VETERAN"" JAKARTA",ILMU POLITIK,100,1109,9.02
"UPN ""VETERAN"" JAKARTA",ILMU KOMUNIKASI,160,4242,3.77
"UPN ""VETERAN"" JAKARTA",HUKUM,175,1838,9.52
"UPN ""VETERAN"" JAKARTA",GIZI,53,1502,3.53
"UPN ""VETERAN"" JAKARTA",INFORMATIKA,88,1460,6.03
UNIVERSITAS UDAYANA,ILMU POLITIK,32,257,12.45
UNIVERSITAS UDAYANA,AGRIBISNIS,80,337,23.74
UNIVERSITAS UDAYANA,ILMU KOMUNIKASI,32,690,4.64
UNIVERSITAS UDAYANA,SASTRA BALI,20,24,83.33
UNIVERSITAS UDAYANA,KEPERAWATAN,36,303,11.88
UNIVERSITAS UDAYANA,TEKNIK MESIN,72,229,31.44
UNIVERSITAS UDAYANA,PETERNAKAN,80,170,47.06
UNIVERSITAS UDAYANA,MANAJEMEN,120,2016,5.95
UNIVERSITAS UDAYANA,TEKNOLOGI INFORMASI,64,529,12.1
UNIVERSITAS UDAYANA,ADMINISTRASI NEGARA,32,451,7.1
UNIVERSITAS UDAYANA,ANTROPOLOGI BUDAYA,20,98,20.41
UNIVERSITAS UDAYANA,HUBUNGAN INTERNASIONAL,32,567,5.64
UNIVERSITAS UDAYANA,TEKNIK SIPIL,72,625,11.52
UNIVERSITAS UDAYANA,SASTRA JAWA KUNO,8,12,66.67
UNIVERSITAS UDAYANA,SOSIOLOGI,32,176,18.18
UNIVERSITAS UDAYANA,ILMU KESEHATAN MASYARAKAT,60,514,11.67
UNIVERSITAS UDAYANA,SASTRA INDONESIA,26,90,28.89
UNIVERSITAS UDAYANA,ARKEOLOGI,20,79,25.32
UNIVERSITAS UDAYANA,AKUNTANSI,120,1277,9.4
UNIVERSITAS UDAYANA,ILMU SEJARAH,20,64,31.25
UNIVERSITAS UDAYANA,EKONOMI PEMBANGUNAN,120,503,23.86
UNIVERSITAS UDAYANA,KEDOKTERAN HEWAN,60,323,18.58
UNIVERSITAS UDAYANA,INDUSTRI PERJALANAN WISATA,48,358,13.41
UNIVERSITAS UDAYANA,PSIKOLOGI,48,791,6.07
UNIVERSITAS UDAYANA,KEDOKTERAN,100,1647,6.07
UNIVERSITAS UDAYANA,TEKNIK INDUSTRI,24,186,12.9
UNIVERSITAS UDAYANA,MANAJEMEN SUMBER DAYA PERAIRAN,40,76,52.63
UNIVERSITAS UDAYANA,ARSITEKTUR LANSKAP,16,70,22.86
UNIVERSITAS UDAYANA,ILMU KELAUTAN,40,166,24.1
UNIVERSITAS UDAYANA,ILMU KOMPUTER/TEKNIK INFORMATIKA,48,696,6.9
UNIVERSITAS UDAYANA,KEDOKTERAN GIGI,40,422,9.48
UNIVERSITAS UDAYANA,TEKNIK ELEKTRO,64,267,23.97
UNIVERSITAS UDAYANA,FARMASI,40,751,5.33
UNIVERSITAS UDAYANA,MATEMATIKA,40,104,38.46
UNIVERSITAS UDAYANA,PENGELOLAAN PERHOTELAN,40,0,100.0
UNIVERSITAS UDAYANA,ARSITEKTUR,48,569,8.44
UNIVERSITAS UDAYANA,KIMIA,32,58,55.17
UNIVERSITAS UDAYANA,TEKNOLOGI INDUSTRI PERTANIAN,32,83,38.55
UNIVERSITAS UDAYANA,TEKNIK LINGKUNGAN,24,122,19.67
UNIVERSITAS UDAYANA,TEKNIK PERTANIAN DAN BIOSISTEM,24,105,22.86
UNIVERSITAS UDAYANA,FISIOTERAPI,24,272,8.82
UNIVERSITAS UDAYANA,ILMU HUKUM,208,1472,14.13
UNIVERSITAS UDAYANA,SASTRA INGGRIS,80,610,13.11
UNIVERSITAS UDAYANA,BIOLOGI,28,88,31.82
UNIVERSITAS UDAYANA,FISIKA,24,29,82.76
UNIVERSITAS UDAYANA,AGROEKOTEKNOLOGI,80,200,40.0
UNIVERSITAS UDAYANA,PARIWISATA,48,636,7.55
UNIVERSITAS UDAYANA,TEKNOLOGI PANGAN,32,184,17.39
UNIVERSITAS UDAYANA,SASTRA JEPANG,36,187,19.25
