Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,ADMINISTRASI PUBLIK,S1,30,529,5.67
UNIVERSITAS BRAWIJAYA,ADMINISTRASI PUBLIK,S1,111,897,12.37
UNIVERSITAS DIPONEGORO,ADMINISTRASI PUBLIK,S1,42,741,5.67
UNIVERSITAS HASANUDDIN,ADMINISTRASI PUBLIK,S1,20,483,4.14
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,ADMINISTRASI PUBLIK,S1,67,749,8.95
UNIVERSITAS JENDERAL SOEDIRMAN,ADMINISTRASI PUBLIK,S1,36,588,6.12
UNIVERSITAS LAMBUNG MANGKURAT,ADMINISTRASI PUBLIK,S1,20,304,6.58
UNIVERSITAS MALIKUSSALEH,ADMINISTRASI PUBLIK,S1,160,203,78.82
UNIVERSITAS MULAWARMAN,ADMINISTRASI PUBLIK,S1,24,454,5.29
UNIVERSITAS NEGERI GORONTALO,ADMINISTRASI PUBLIK,S1,35,143,24.48
UNIVERSITAS PADJADJARAN,ADMINISTRASI PUBLIK,S1,20,599,3.34
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,ADMINISTRASI PUBLIK,S1,40,27,100.0
UNIVERSITAS SULTAN AGENG TIRTAYASA,ADMINISTRASI PUBLIK,S1,32,568,5.63
"UPN ""VETERAN"" JAWA TIMUR",ADMINISTRASI PUBLIK,S1,60,455,13.19
