Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,AGRIBISNIS,54,794,6.8
UNIVERSITAS ANDALAS,AGRIBISNIS,36,605,5.95
UNIVERSITAS BANGKA BELITUNG,AGRIBISNIS,21,186,11.29
UNIVERSITAS BENGKULU,AGRIBISNIS,20,262,7.63
UNIVERSITAS BORNEO TARAKAN,AGRIBISNIS,36,62,58.06
UNIVERSITAS BRAWIJAYA,AGRIBISNIS,141,1360,10.37
UNIVERSITAS DIPONEGORO,AGRIBISNIS,30,626,4.79
UNIVERSITAS HALUOLEO,AGRIBISNIS,30,125,24.0
UNIVERSITAS HASANUDDIN,AGRIBISNIS,40,726,5.51
UNIVERSITAS JAMBI,AGRIBISNIS,62,392,15.82
UNIVERSITAS JEMBER,AGRIBISNIS,42,591,7.11
UNIVERSITAS JENDERAL SOEDIRMAN,AGRIBISNIS,30,442,6.79
UNIVERSITAS KHAIRUN,AGRIBISNIS,18,18,100.0
UNIVERSITAS LAMBUNG MANGKURAT,AGRIBISNIS,16,177,9.04
UNIVERSITAS LAMPUNG,AGRIBISNIS,24,460,5.22
UNIVERSITAS MALIKUSSALEH,AGRIBISNIS,60,235,25.53
UNIVERSITAS MATARAM,AGRIBISNIS,55,349,15.76
UNIVERSITAS MULAWARMAN,AGRIBISNIS,21,156,13.46
UNIVERSITAS MUSAMUS MERAUKE,AGRIBISNIS,9,10,90.0
UNIVERSITAS NEGERI GORONTALO,AGRIBISNIS,40,66,60.61
UNIVERSITAS NUSA CENDANA,AGRIBISNIS,44,66,66.67
UNIVERSITAS PADJADJARAN,AGRIBISNIS,33,727,4.54
UNIVERSITAS PAPUA,AGRIBISNIS,18,4,100.0
UNIVERSITAS PATTIMURA,AGRIBISNIS,20,34,58.82
UNIVERSITAS SAM RATULANGI,AGRIBISNIS,43,90,47.78
UNIVERSITAS SAMUDRA,AGRIBISNIS,32,151,21.19
UNIVERSITAS SEBELAS MARET,AGRIBISNIS,24,712,3.37
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,AGRIBISNIS,25,14,100.0
UNIVERSITAS SILIWANGI,AGRIBISNIS,24,463,5.18
UNIVERSITAS SINGAPERBANGSA KARAWANG,AGRIBISNIS,27,299,9.03
UNIVERSITAS SRIWIJAYA,AGRIBISNIS,40,620,6.45
UNIVERSITAS SULAWESI BARAT,AGRIBISNIS,28,43,65.12
UNIVERSITAS SULTAN AGENG TIRTAYASA,AGRIBISNIS,48,518,9.27
UNIVERSITAS SUMATERA UTARA,AGRIBISNIS,60,1002,5.99
UNIVERSITAS SYIAH KUALA,AGRIBISNIS,30,467,6.42
UNIVERSITAS TADULAKO,AGRIBISNIS,80,158,50.63
UNIVERSITAS TEUKU UMAR,AGRIBISNIS,36,99,36.36
UNIVERSITAS TIMOR,AGRIBISNIS,24,11,100.0
UNIVERSITAS TRUNOJOYO MADURA,AGRIBISNIS,54,310,17.42
UNIVERSITAS UDAYANA,AGRIBISNIS,60,322,18.63
"UPN ""VETERAN"" JAWA TIMUR",AGRIBISNIS,46,533,8.63
"UPN ""VETERAN"" YOGYAKARTA",AGRIBISNIS,24,422,5.69
