Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,AGROTEKNOLOGI,45,520,8.65
UNIVERSITAS BANGKA BELITUNG,AGROTEKNOLOGI,30,99,30.3
UNIVERSITAS BORNEO TARAKAN,AGROTEKNOLOGI,24,36,66.67
UNIVERSITAS HASANUDDIN,AGROTEKNOLOGI,40,816,4.9
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,AGROTEKNOLOGI,24,180,13.33
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,AGROTEKNOLOGI,27,408,6.62
UNIVERSITAS JENDERAL SOEDIRMAN,AGROTEKNOLOGI,66,784,8.42
UNIVERSITAS KHAIRUN,AGROTEKNOLOGI,15,14,100.0
UNIVERSITAS LAMPUNG,AGROTEKNOLOGI,16,229,6.99
UNIVERSITAS MUSAMUS MERAUKE,AGROTEKNOLOGI,8,0,100.0
UNIVERSITAS NEGERI GORONTALO,AGROTEKNOLOGI,40,35,100.0
UNIVERSITAS PADJADJARAN,AGROTEKNOLOGI,75,1073,6.99
UNIVERSITAS PALANGKARAYA,AGROTEKNOLOGI,30,118,25.42
UNIVERSITAS PAPUA,AGROTEKNOLOGI,18,3,100.0
UNIVERSITAS PATTIMURA,AGROTEKNOLOGI,32,12,100.0
UNIVERSITAS RIAU,AGROTEKNOLOGI,60,674,8.9
UNIVERSITAS SAMUDRA,AGROTEKNOLOGI,32,87,36.78
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,AGROTEKNOLOGI,20,6,100.0
UNIVERSITAS SILIWANGI,AGROTEKNOLOGI,16,311,5.14
UNIVERSITAS SINGAPERBANGSA KARAWANG,AGROTEKNOLOGI,37,410,9.02
UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI,30,239,12.55
UNIVERSITAS TADULAKO,AGROTEKNOLOGI,120,125,96.0
UNIVERSITAS TANJUNGPURA,AGROTEKNOLOGI,60,190,31.58
UNIVERSITAS TEUKU UMAR,AGROTEKNOLOGI,40,60,66.67
UNIVERSITAS TIDAR,AGROTEKNOLOGI,30,334,8.98
UNIVERSITAS TIMOR,AGROTEKNOLOGI,24,5,100.0
"UPN ""VETERAN"" JAWA TIMUR",AGROTEKNOLOGI,56,492,11.38
"UPN ""VETERAN"" YOGYAKARTA",AGROTEKNOLOGI,70,736,9.51
